speciesName,genus,speciesEpithet,family,speciesNameComments,photosyntheticPathway_confirmed,photosyntheticPathway_inferred,photosyntheticPathway_combined,source,justification,notes,d13C_perMil,d13CReplicate_perMil,ternVegetationBarcode,ternPrimaryGeneticBarcode,plantMaterialType,ternPlot,latitude,longitude,dateSurveyed,d13CAdditionalSample_perMil,ternPlotAdditionalSample,ternPrimaryGeneticBarcodeAdditionalSample,plantMaterialTypeAdditionalSample,latitudeAdditionalSample,longitudeOfAdditionalSample,dateSurveyedAdditionalSample,facilityYear,species_name,taxon_name,old_pathway,photosyntheticPathway_combined2
Banksia_attenuata,Banksia,attenuata,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia attenuata,Banksia attenuata,c3,NA
Banksia_audax,Banksia,audax,Proteaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia audax,Banksia audax,NA,C3
Banksia_caleyi,Banksia,caleyi,Proteaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia caleyi,Banksia caleyi,NA,C3
Banksia_dallanneyi,Banksia,dallanneyi,Proteaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia dallanneyi,Banksia dallanneyi,c3,NA
Banksia_dentata,Banksia,dentata,Proteaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia dentata,Banksia dentata,NA,C3
Banksia_elderiana,Banksia,elderiana,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia elderiana,Banksia elderiana,c3,NA
Banksia_ericifolia,Banksia,ericifolia,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia ericifolia,Banksia ericifolia,c3,NA
Banksia_grandis,Banksia,grandis,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia grandis,Banksia grandis,c3,NA
Banksia_ilicifolia,Banksia,ilicifolia,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia ilicifolia,Banksia ilicifolia,c3,NA
Banksia_lindleyana,Banksia,lindleyana,Proteaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia lindleyana,Banksia lindleyana,c3,NA
Banksia_lullfitzii,Banksia,lullfitzii,Proteaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia lullfitzii,Banksia lullfitzii,NA,C3
Banksia_marginata,Banksia,marginata,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia marginata,Banksia marginata,c3,NA
Banksia_menziesii,Banksia,menziesii,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia menziesii,Banksia menziesii,c3,NA
Banksia_nivea,Banksia,nivea,Proteaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia nivea,Banksia nivea,c3,NA
Banksia_nobilis,Banksia,nobilis,Proteaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia nobilis,Banksia nobilis,c3,NA
Banksia_oblongifolia,Banksia,oblongifolia,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia oblongifolia,Banksia oblongifolia,c3,NA
Banksia_ornata,Banksia,ornata,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia ornata,Banksia ornata,NA,C3
Banksia_penicillata,Banksia,penicillata,Proteaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia penicillata,Banksia penicillata,NA,C3
Banksia_sceptrum,Banksia,sceptrum,Proteaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia sceptrum,Banksia sceptrum,c3,NA
Banksia_serrata,Banksia,serrata,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia serrata,Banksia serrata,c3,NA
Banksia_sphaerocarpa,Banksia,sphaerocarpa,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia sphaerocarpa,Banksia sphaerocarpa,c3,NA
Banksia_spinulosa,Banksia,spinulosa,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia spinulosa,Banksia spinulosa,c3,NA
Banksia_squarrosa,Banksia,squarrosa,Proteaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia squarrosa,Banksia squarrosa,c3,NA
Banksia_violacea,Banksia,violacea,Proteaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banksia violacea,Banksia violacea,c3,NA
Barringtonia_acutangula,Barringtonia,acutangula,Lecythidaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Barringtonia acutangula,Barringtonia acutangula,c3,NA
Basilicum_polystachyon,Basilicum,polystachyon,Lamiaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Basilicum polystachyon,Basilicum polystachyon,c3,NA
Batis_argillicola,Batis,argillicola,Bataceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Batis argillicola,Batis argillicola,c3,NA
Bauhinia_cunninghamii,Bauhinia,cunninghamii,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bauhinia cunninghamii,Lysiphyllum cunninghamii,c3,NA
Bauhinia_gilva,Bauhinia,gilva,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bauhinia gilva,Lysiphyllum gilvum,c3,NA
Bauhinia_variegata,Bauhinia,variegata,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bauhinia variegata,Bauhinia variegata,NA,C3
Beaufortia_aestiva,Beaufortia,aestiva,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beaufortia aestiva,Beaufortia aestiva,c3,NA
Beaufortia_elegans,Beaufortia,elegans,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beaufortia elegans,Beaufortia elegans,NA,C3
Beaufortia_interstans,Beaufortia,interstans,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beaufortia interstans,Beaufortia puberula,c3,NA
Beaufortia_micrantha,Beaufortia,micrantha,Myrtaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beaufortia micrantha,Beaufortia micrantha,c3,NA
Beaufortia_puberula,Beaufortia,puberula,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beaufortia puberula,Beaufortia puberula,c3,NA
Beaufortia_sprengelioides,Beaufortia,sprengelioides,Myrtaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beaufortia sprengelioides,Beaufortia sprengelioides,NA,C3
Beilschmiedia_crassifolia,Beilschmiedia,crassifolia,Lauraceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beilschmiedia crassifolia,NA,NA,C3
Bellida_graminea,Bellida,graminea,Asteraceae,NA,C3,NA,C3,TERN SIA,NA,NA,-30.28,NA,NA,WAA022359,leaves flowers stem,WAAAVW0006,-29.60355,116.9675,28/08/2019,NA,NA,NA,NA,NA,NA,NA,University of Adelaide-2023,Bellida graminea,Bellida graminea,NA,C3
Bergia_henshallii,Bergia,henshallii,Elatinaceae,NA,U,C3,C3,"Sage, 2016 (and references therein); Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bergia henshallii,Bergia henshallii,NA,C3
Bergia_pedicellaris,Bergia,pedicellaris,Elatinaceae,NA,U,C3,C3,"Sage, 2016 (and references therein); Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bergia pedicellaris,Bergia pedicellaris,NA,C3
Bergia_trimera,Bergia,trimera,Elatinaceae,NA,U,C3,C3,"Sage, 2016 (and references therein); Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bergia trimera,Bergia trimera,NA,C3
Bertya_rotundifolia,Bertya,rotundifolia,Euphorbiaceae,NA,C3,NA,C3,TERN SIA,NA,NA,-28.57,NA,NA,SAA015101,leaves & stem,SAAKAN0008,-35.90438,137.5513,13/10/2020,NA,NA,NA,NA,NA,NA,NA,University of Adelaide-2023,Bertya rotundifolia,Bertya rotundifolia,NA,C3
Beyeria_cinerea,Beyeria,cinerea,Euphorbiaceae,NA,U,C3,C3,Photosynthetic Pathway of other species in genus (TERN SIA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beyeria cinerea,Beyeria cinerea,NA,C3
Beyeria_gardneri,Beyeria,gardneri,Euphorbiaceae,NA,C3,NA,C3,TERN SIA,NA,NA,-27.06,NA,NA,WAA012285,leaves,WAAGES0001-58023,-27.52381667,114.5289806,30/08/2016,NA,NA,NA,NA,NA,NA,NA,University of Adelaide-2020,Beyeria gardneri,Beyeria gardneri,c3,NA
Beyeria_lechenaultii,Beyeria,lechenaultii,Euphorbiaceae,NA,U,C3,C3,Photosynthetic Pathway of other species in genus (TERN SIA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beyeria lechenaultii,Beyeria lechenaultii,NA,C3
Beyeria_opaca,Beyeria,opaca,Euphorbiaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beyeria opaca,Beyeria opaca,c3,NA
Beyeria_sulcata,Beyeria,sulcata,Euphorbiaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beyeria sulcata,Beyeria sulcata,c3,NA
Beyeria_viscosa,Beyeria,viscosa,Euphorbiaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beyeria viscosa,Beyeria viscosa,NA,C3
Bidens_bipinnata,Bidens,bipinnata,Asteraceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bidens bipinnata,Bidens bipinnata,c3,NA
Bidens_pilosa,Bidens,pilosa,Asteraceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bidens pilosa,Bidens pilosa,NA,C3
Bidens_subalternans,Bidens,subalternans,Asteraceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bidens subalternans,Bidens subalternans,c3,NA
Billardiera_cymosa,Billardiera,cymosa,Pittosporaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Billardiera cymosa,Billardiera cymosa,NA,C3
Billardiera_scandens,Billardiera,scandens,Pittosporaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Billardiera scandens,Billardiera scandens,NA,C3
Billardiera_uniflora,Billardiera,uniflora,Pittosporaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Billardiera uniflora,Billardiera uniflora,NA,C3
Billardiera_variifolia,Billardiera,variifolia,Pittosporaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Billardiera variifolia,Billardiera variifolia,NA,C3
Billardiera_venusta,Billardiera,venusta,Pittosporaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Billardiera venusta,Billardiera venusta,NA,C3
Billardiera_versicolor,Billardiera,versicolor,Pittosporaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Billardiera versicolor,Billardiera versicolor,NA,C3
Blennodia_canescens,Blennodia,canescens,Brassicaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blennodia canescens,Blennodia canescens,c3,NA
Blennodia_pterosperma,Blennodia,pterosperma,Brassicaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blennodia pterosperma,Blennodia pterosperma,NA,C3
Blennospora_drummondii,Blennospora,drummondii,Asteraceae,NA,U,U,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blennospora drummondii,Blennospora drummondii,NA,U
Blepharocarya_depauperata,Blepharocarya,depauperata,Anacardiaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Tree anatomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blepharocarya depauperata,Blepharocarya depauperata,c3,NA
Blumea_diffusa,Blumea,diffusa,Asteraceae,NA,C3,NA,C3,TERN SIA,NA,NA,-32.07,NA,NA,NTA011255,unknown; plant sample badly damaged and pulverised,NTAGFU0014,-17.75179,136.9389,14/05/2012,NA,NA,NA,NA,NA,NA,NA,University of Adelaide-2023,Blumea diffusa,Blumea diffusa,NA,C3
Blumea_saxatilis,Blumea,saxatilis,Asteraceae,NA,C3,NA,C3,TERN SIA,NA,NA,-31.88,NA,NA,NTA018494,leaves,NTAARP0001,-13.55729,132.2701,2/6/2016,NA,NA,NA,NA,NA,NA,NA,University of Adelaide-2023,Blumea saxatilis,Blumea saxatilis,NA,C3
Blumea_tenella,Blumea,tenella,Asteraceae,NA,C3,NA,C3,TERN SIA,NA,NA,-29.78,NA,NA,NTA012145,leaves,NTAGFU0039-53686,-14.6768,133.8822528,14/07/2012,-31.95,WAAPIL0014-57611,WAA009431,leaves,-22.63589903,118.2248548,6/9/2015,CSIRO-2019,Blumea tenella,Blumea tenella,c3,NA
Boerhavia_australis,Boerhavia,australis,Nyctaginaceae,NA,U,C4,C4,"Khoshravesh et al., 2020",All species in this genus are C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boerhavia australis,NA,NA,C4
Boerhavia_burbidgeana,Boerhavia,burbidgeana,Nyctaginaceae,NA,C4,NA,C4,TERN SIA,NA,NA,-14.65,NA,NA,QDA  001749,leaves,QDAMGD0018-53541,-22.11817778,143.3371667,16/05/2013,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Boerhavia burbidgeana,Boerhavia burbidgeana,NA,C4
Boerhavia_coccinea,Boerhavia,coccinea,Nyctaginaceae,NA,C4,NA,C4,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boerhavia coccinea,Boerhavia coccinea,c4,NA
Boerhavia_dominii,Boerhavia,dominii,Nyctaginaceae,NA,C4,NA,C4,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boerhavia dominii,Boerhavia dominii,c4,NA
Boerhavia_gardneri,Boerhavia,gardneri,Nyctaginaceae,NA,U,C4,C4,"Khoshravesh et al., 2020",All species in this genus are C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boerhavia gardneri,Boerhavia gardneri,NA,C4
Boerhavia_glabrata,Boerhavia,glabrata,Nyctaginaceae,NA,C4,NA,C4,"Khoshravesh et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boerhavia glabrata,Boerhavia glabrata,NA,C4
Boerhavia_paludosa,Boerhavia,paludosa,Nyctaginaceae,NA,C4,NA,C4,TERN SIA,NA,NA,-13.29,NA,NA,NTA  006360,mixed,NTAMGD0002-53466,-20.02463611,137.3258,12/3/2014,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Boerhavia paludosa,Boerhavia paludosa,NA,C4
Boerhavia_pubescens,Boerhavia,pubescens,Nyctaginaceae,NA,C4,NA,C4,TERN SIA,NA,NA,-13.28,NA,NA,QDA  005483,mixed,QDAMII0002-53546,-20.00789444,138.1605917,11/3/2014,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Boerhavia pubescens,Boerhavia coccinea,c4,NA
Boerhavia_repens,Boerhavia,repens,Nyctaginaceae,NA,C4,NA,C4,"Khoshravesh et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boerhavia repens,Boerhavia repens,NA,C4
Boerhavia_repleta,Boerhavia,repleta,Nyctaginaceae,NA,C4,NA,C4,TERN SIA,NA,NA,-14.24,NA,NA,NTA010456,leaves,NTABRT0005-53620,-22.29108056,133.612075,24/03/2012,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Boerhavia repleta,Boerhavia repleta,NA,C4
Boerhavia_schomburgkiana,Boerhavia,schomburgkiana,Nyctaginaceae,NA,C4,NA,C4,TERN SIA,NA,NA,-13.8,NA,NA,QDA  003286,mixed,QDAMGD0022-53501,-22.36874444,141.2872806,18/05/2013,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Boerhavia schomburgkiana,Boerhavia schomburgkiana,NA,C4
Bolboschoenus_caldwellii,Bolboschoenus,caldwellii,Cyperaceae,NA,C4,NA,C4,TERN SIA,NA,NA,-13.08,NA,NA,NSA  06996,leaves,NSABHC0023-57099,-31.34395,142.1365528,21/04/2014,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Bolboschoenus caldwellii,Bolboschoenus caldwellii,c3,C4
Bonamia_alatisemina,Bonamia,alatisemina,Convolvulaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bonamia alatisemina,Bonamia alatisemina,NA,C3
Bonamia_brevifolia,Bonamia,brevifolia,Convolvulaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bonamia brevifolia,Bonamia brevifolia,c3,NA
Bonamia_erecta,Bonamia,erecta,Convolvulaceae,NA,C3,NA,C3,TERN SIA,NA,NA,-28.32,NA,NA,WAA  005153,leaves,WAAMUR0031-53465,-27.43861667,120.6555167,28/03/2014,NA,NA,NA,NA,NA,NA,NA,University of Adelaide-2020,Bonamia erecta,Bonamia erecta,NA,C3
Bonamia_linearis,Bonamia,linearis,Convolvulaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bonamia linearis,Bonamia linearis,NA,C3
Bonamia_media,Bonamia,media,Convolvulaceae,NA,C3,NA,C3,TERN SIA,NA,NA,-30.69,NA,NA,NTA017707,leaves,NTASTU0004-58426,-14.86383889,132.9914028,3/5/2016,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Bonamia media,Bonamia media,NA,C3
Bonamia_mexicana,Bonamia,mexicana,Convolvulaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bonamia mexicana,NA,NA,C3
Bonamia_pannosa,Bonamia,pannosa,Convolvulaceae,NA,C3,NA,C3,TERN SIA,NA,NA,-27.4,NA,NA,NTA010020,leaves,NTAGFU0001-53648,-18.90550556,137.0692639,12/4/2012,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Bonamia pannosa,Bonamia pannosa,NA,C3
Bonamia_pilbarensis,Bonamia,pilbarensis,Convolvulaceae,NA,C3,NA,C3,TERN SIA,NA,NA,-27.08,NA,NA,WAA008066,mixed,WAAPIL0003-57601,-21.54110278,117.0570056,30/08/2015,NA,NA,NA,NA,NA,NA,NA,University of Adelaide-2020,Bonamia pilbarensis,Bonamia pilbarensis,NA,C3
