Spp Name,Order,Family,Genus,Species_Code,Plant_height_(m),Leaf_Area_cm2,Seed_Mass_g,"Plant_height_interpolated_(1=Y,0=N)","Leaf_Area_interpolated_(1=Y,0=N)","Seed_Mass_interpolated_(1=Y,0=N)"
Centrolepis strigosa,Laurales,Centrolepidaceae,Centrolepis,444,0.11,0.0942478,3.40E-05,0,0,0
Chamaescilla corymbosa,Asparagales,Asparagaceae,Chamaescilla,447,0.15,18.8496,0.000792,0,0,0
Cheesemania radicata,Brassicales,Brassicaceae,Cheesemania,449,0.491667,0.785398,0.0014896,1,1,0
Cheilanthes austrotenuifolia,Polypodiales,Pteridaceae,Cheilanthes,450,0.3,0.141371669,0.0033,0,0,1
Cheilanthes sieberi,Polypodiales,Pteridaceae,Cheilanthes,452,0.35,1.374446786,0.0033,0,0,1
Chiloglottis cornuta,Asparagales,Orchidacae,Chiloglottis,453,0.05,21.9911,1.24E-05,0,0,1
Chiloglottis grammata,Asparagales,Orchidacae,Chiloglottis,454,0.05,21.9911,1.24E-05,0,0,1
Chiloglottis gunnii,Asparagales,Orchidacae,Chiloglottis,455,0.1,9.81748,1.24E-05,0,0,1
Chiloglottis reflexa,Asparagales,Orchidacae,Chiloglottis,457,0.1,9.81748,1.24E-05,0,0,1
Chiloglottis triceratops,Asparagales,Orchidacae,Chiloglottis,459,0.05,6.28319,1.24E-05,0,0,1
Chionogentias diemensis,Gentianales,Gentianaceae,Chionogentias,462,0.36,2.93543,8.84E-05,1,1,1
Chionogentias eichleri,Gentianales,Gentianaceae,Chionogentias,463,0.36,2.93543,8.84E-05,1,1,1
Chionogentias pleurogynoides,Gentianales,Gentianaceae,Chionogentias,465,0.36,2.93543,8.84E-05,1,1,1
Chordifex hookeri,Poales,Restionaceae,Chordifex,468,0.2,6.02139,0.0014557,0,1,1
Chrysocephalum apiculatum,Asterales,Asteraceae,Chrysocephalum,473,0.4,11.8909,6.92E-05,0,1,1
Chrysocephalum semipapposum,Asterales,Asteraceae,Chrysocephalum,475,0.4,11.8909,6.92E-05,1,1,0
Clematis aristata,Ranunculales,Ranunculaceae,Clematis,477,6,35.3429,0.00295,0,0,0
Clematis gentianoides,Ranunculales,Ranunculaceae,Clematis,480,0.45,28.2743,0.0029748,0,0,0
Clematis microphylla,Ranunculales,Ranunculaceae,Clematis,481,6,4.71239,0.0029624,0,0,1
Colobanthus apetalus,Caryophyllales,Caryophyllaceae,Colobanthus,483,0.08,0.384531,8.52E-05,0,1,0
Comesperma calymega,Polygalales,Polygalaceae,Comesperma,486,0.5,0.981748,0.0011082,0,0,1
Comesperma defoliatum,Polygalales,Polygalaceae,Comesperma,487,0.4,0.314159,0.0011082,0,0,1
Comesperma ericinum,Polygalales,Polygalaceae,Comesperma,488,1.5,0.785398,0.0011082,0,0,1
Comesperma retusum,Polygalales,Polygalaceae,Comesperma,489,1.5,0.353429,0.0010268,0,0,0
Comesperma volubile,Polygalales,Polygalaceae,Comesperma,490,2,1.9635,0.0011896,0,0,0
Convolvulus angustissimus,Solanales,Convolvulaceae,Convolvulus,493,0.1,20.4204,0.0022532,1,0,1
Convolvulus erubescens,Solanales,Convolvulaceae,Convolvulus,494,0.1,18.8496,0.0022532,1,0,1
Coprosma hirtella,Gentianales,Rubiaceae,Coprosma,495,2,9.81748,0.0333348,0,0,0
Coprosma moorei,Gentianales,Rubiaceae,Coprosma,496,0.1,0.11781,0.0181281,0,0,1
Coprosma nitida,Gentianales,Rubiaceae,Coprosma,497,2,8.24668,0.017547,0,0,0
Coprosma perpusilla,Gentianales,Rubiaceae,Coprosma,498,0.1,0.192423,0.0181281,0,0,1
Coprosma pumila,Gentianales,Rubiaceae,Coprosma,499,0.1,0.192423,0.0181281,0,0,1
Coprosma quadrifida,Gentianales,Rubiaceae,Coprosma,500,4,0.589049,0.0035024,0,0,0
Coronidium scorpioides,Asterales,Asteraceae,Coronidium,501,0.5,5.65487,0.0001524,0,0,0
Correa alba,Gentianales,Rutaceae,Correa,502,1.5,7.42201,0.00126821,0,0,1
Correa backhousiana,Gentianales,Rutaceae,Correa,503,2,3.14159,0.00126821,0,0,1
Correa lawrenceana,Gentianales,Rutaceae,Correa,504,9,57.7268,0.00126821,0,0,1
Correa reflexa,Gentianales,Rutaceae,Correa,505,1.5,1.9635,0.00126821,0,0,1
Corunastylis archeri,Asparagales,Orchidacae,Corunastylis,506,0.15,9.42478,1.24E-05,0,0,1
Corybas aconitiflorus,Asparagales,Orchidacae,Corybas,515,0.05,3.92699,1.24E-05,0,0,1
Corybas diemenicus,Asparagales,Orchidacae,Corybas,516,0.04,3.14159,1.24E-05,0,0,1
Corysanthes incurva,Asparagales,Orchidacae,Corysanthes,523,0.05,3.14159,1.24E-05,0,0,1
Cotula alpina,Asterales,Asteraceae,Cotula,524,0.1,1.64934,0.0002856,0,0,0
Cotula australis,Asterales,Asteraceae,Cotula,525,0.1,1.5708,5.80E-05,0,0,0
Cotula filicula,Asterales,Asteraceae,Cotula,526,0.1,5.89049,0.0001718,0,0,1
Cotula reptans,Asterales,Asteraceae,Cotula,528,0.15,5.89049,0.0001718,0,0,1
Craspedia alpina,Asterales,Asteraceae,Craspedia,531,0.3,11.8909,0.0007776,0,1,1
Craspedia glauca,Asterales,Asteraceae,Craspedia,534,0.6,11.8909,0.0007776,0,1,0
Crassula decumbens,Saxifragales,Crassulaceae,Crassula,538,0.1,0.125664,9.40E-06,0,0,0
Crassula helmsii,Saxifragales,Crassulaceae,Crassula,540,0.3,0.282743,0.0002128,0,0,0
Crassula peduncularis,Saxifragales,Crassulaceae,Crassula,542,0.06,0.0392699,5.70E-06,0,0,0
Crassula sieberiana,Saxifragales,Crassulaceae,Crassula,543,0.2,0.235619,3.83E-05,0,0,0
Crepidomanes venosum,Hymenophyllales,Hymenophyllaceae,Crepidomanes,545,0.1375,10.8123,0.0033,1,1,1
Crocosmia Xcrocosmiiflora,Asparagales,Iridaceae,Crocosmia,546,1,125.664,0.00210952,0,0,1
Cryptandra amara,Rosales,Rhamnaceae,Cryptandra,548,1,0.141372,0.0010164,0,0,0
Cryptostylis subulata,Asparagales,Orchidacae,Cryptostylis,551,0.35,47.1239,1.24E-05,0,0,1
Ctenopteris heterophylla,Polypodiales,Polypodiaceae,Ctenopteris,552,0.25,2.199114858,0.0033,0,0,1
Cyathea australis,Cyatheales,Cyatheaceae,Cyathea,557,12,23.5619449,0.0033,0,0,1
Cyathodes abietina,Ericales,Ericaceae,Cyathodes,560,1.45,10.0217,0.0539958,1,1,1
Cyathodes dealbata,Ericales,Ericaceae,Cyathodes,561,0.1,0.0314159,0.0539958,0,0,1
Cyathodes divaricata,Ericales,Ericaceae,Cyathodes,562,0.9,0.0785398,0.0539958,0,0,1
Cyathodes glauca,Ericales,Ericaceae,Cyathodes,563,5,4.869468613,0.0817,0,0,0
Cyathodes juniperina,Ericales,Ericaceae,Cyathodes,564,1.45,10.0217,0.0539958,1,1,1
Cyathodes parvifolia,Ericales,Ericaceae,Cyathodes,565,1.2,0.0471239,0.0539958,0,0,1
Cyathodes pendulosa,Ericales,Ericaceae,Cyathodes,566,1.45,10.0217,0.0539958,1,1,1
Cyathodes petiolaris,Ericales,Ericaceae,Cyathodes,567,0.5,10.0217,0.0539958,0,1,1
Cyathodes straminea,Ericales,Ericaceae,Cyathodes,569,1,10.0217,0.0262916,0,1,0
Cymbonotus preissianus,Asterales,Asteraceae,Cymbonotus,571,0.1,235.619,0.000401868,0,0,1
Cynoglossum suaveolens,Lamiales,Boraginaceae,Cynoglossum,573,0.5,39.2699,0.000719505,0,0,1
Cyperus gunnii,Poales,Cyperaceae,Cyperus,574,1.5,76.5763,0.00143971,0,0,1
Cyphanthera tasmanica,Solanales,Solanaceae,Cyphanthera,576,4,3.14159,0.0022436,0,0,0
Cyrtostylis reniformis,Asparagales,Orchidacae,Cyrtostylis,577,0.27,10.9956,1.24E-05,0,0,1
Cystopteris tasmanica,Polypodiales,Cystopteridaceae,Cystopteris,579,0.35,0.471238898,0.0033,0,1,1
Dampiera stricta,Asterales,Goodeniaceae,Dampiera,581,0.6,6.71515,0.00125318,0,0,1
Danthonia decumbens,Poales,Poaceae,Danthonia,582,0.3,11.781,0.00120732,0,0,1
Danthonia dimidiata,Poales,Poaceae,Danthonia,583,0.533333,8.83573,0.00120732,1,1,1
Danthonia fortunae-hibernae,Poales,Poaceae,Danthonia,584,0.533333,8.83573,0.00120732,1,1,1
Danthonia gracilis,Poales,Poaceae,Danthonia,585,0.533333,8.83573,0.00120732,1,1,1
Danthonia nivicola,Poales,Poaceae,Danthonia,587,0.3,8.83573,0.00120732,0,1,1
Danthonia nudiflora,Poales,Poaceae,Danthonia,588,0.533333,8.83573,0.00120732,1,1,1
Danthonia pauciflora,Poales,Poaceae,Danthonia,589,0.533333,8.83573,0.00120732,1,1,1
Danthonia semiannularis,Poales,Poaceae,Danthonia,590,1,5.89049,0.00120732,0,0,1
Daucus glochidiatus,Apiales,Apiaceae,Daucus,591,0.6,20.6717,0.0012588,0,1,1
Daviesia latifolia,Fabales,Fabaceae,Daviesia,592,3,54.9779,0.0053396,0,0,0
Daviesia ulicifolia,Fabales,Fabaceae,Daviesia,594,2,9.42478,0.0053396,0,0,1
Derwentia derwentiana,Lamiales,Scrophulariaceae,Derwentia,597,1.5,0.282743,0.000166678,0,1,1
Derwentia nivea,Lamiales,Veronicaceae,Derwentia,598,0.5,0.282743,0.000719505,0,0,1
Deyeuxia carinata,Poales,Poaceae,Deyeuxia,607,0.5,0.188496,0.000342373,0,0,1
Deyeuxia contracta,Poales,Poaceae,Deyeuxia,608,0.9,0.0942478,0.0004968,0,0,0
Deyeuxia densa,Poales,Poaceae,Deyeuxia,610,0.9,0.499022,0.0002092,0,1,0
Deyeuxia frigida,Poales,Poaceae,Deyeuxia,611,1.5,0.141372,0.000342373,0,0,1
Deyeuxia gunniana,Poales,Poaceae,Deyeuxia,612,0.4,0.00628319,0.000342373,0,0,1
Deyeuxia innominata,Poales,Poaceae,Deyeuxia,613,0.3,0.019635,0.0003284,0,0,0
Deyeuxia minor,Poales,Poaceae,Deyeuxia,614,0.62,3.14159,0.0004496,0,0,0
Deyeuxia monticola,Poales,Poaceae,Deyeuxia,615,0.7,0.015708,0.00045984,0,0,0
Deyeuxia quadriseta,Poales,Poaceae,Deyeuxia,616,1.2,0.384845,0.0001104,0,0,0
Dianella amoena,Liliales,Liliaceae,Dianella,619,0.45,42.4115,0.0050972,0,0,0
Dianella brevicaulis,Liliales,Liliaceae,Dianella,620,0.5,66.7588,0.0035592,0,0,0
Dianella revoluta,Liliales,Liliaceae,Dianella,621,1,80.1106,0.0048332,0,0,1
Dianella tasmanica,Liliales,Liliaceae,Dianella,622,0.8,62.8319,0.0058432,0,0,0
Dichelachne crinita,Poales,Poaceae,Dichelachne,623,1.5,0.274889,0.000352,0,0,0
Dichelachne inaequiglumis,Poales,Poaceae,Dichelachne,624,1,0.0392699,0.0005224,0,0,0
Dichelachne micrantha,Poales,Poaceae,Dichelachne,625,1.2,0.0706858,0.000406933,0,0,1
Dichelachne rara,Poales,Poaceae,Dichelachne,626,1.2,0.0785398,0.0003464,0,0,0
Dichondra repens,Solanales,Convolvulaceae,Dichondra,628,0.1,4.90874,0.0022532,0,0,1
Dichosciadium ranunculaceum var tasmanicum,Apiales,Apiaceae,Dichosciadium,629,0.1,20.6717,0.0030436,0,1,0
Dicksonia antarctica,Cyatheales,Dicksoniaceae,Dicksonia,630,4.5,23.5619449,0.0033,0,0,1
Digitaria sanguinalis,Poales,Poaceae,Digitaria,631,1,62.8319,0.00120732,0,0,1
Dillwynia cinerascens,Fabales,Fabaceae,Dillwynia,632,1.5,0.785398,0.0038084,0,0,0
Dillwynia glaberrima,Fabales,Fabaceae,Dillwynia,633,2,0.785398,0.0038084,0,0,1
Dillwynia sericea,Fabales,Fabaceae,Dillwynia,634,1,0.785398,0.0038084,0,0,1
Diplarrena latifolia,Asparagales,Iridaceae,Diplarrena,635,1,78.5398,0.0024128,0,0,0
Diplarrena moraea,Asparagales,Iridaceae,Diplarrena,636,100,54.9779,0.0041472,0,0,0
Diplaspis cordifolia,Apiales,Apiaceae,Diplaspis,637,0.1,3.14159,0.000874,0,0,1
Diplaspis hydrocotyle,Apiales,Apiaceae,Diplaspis,638,0.1,3.14159,0.000874,0,0,0
Dipodium roseum,Asparagales,Orchidacae,Dipodium,644,0.8,3.53429,2.67E-06,0,0,0
Dipsacus fullonum,Dipsacales,Dipsacaceae,Dipsacus,646,2.5,188.496,0.0033,0,0,1
Diselma archeri,Pinales,Cupressaceae,Diselma,649,2.5,0.0235619,0.0015492,0,0,0
Disphyma crassifolium,Caryophyllales,Aizoaceae,Disphyma,650,0.1,3.92699,0.032975,0,0,0
Distichlis distichophylla,Poales,Poaceae,Distichlis,651,0.3,3.14159,0.001424,0,0,0
Dittrichia graveolens,Asterales,Asteraceae,Dittrichia,652,0.5,7.65763,0.000401868,0,0,1
Diuris chryseopsis,Asparagales,Orchidacae,Diuris,653,0.3,0.353429,7.72E-05,0,0,0
Diuris orientis,Asparagales,Orchidacae,Diuris,658,0.2,15.708,4.10E-05,0,0,1
Diuris pardina,Asparagales,Orchidacae,Diuris,661,0.4,14.1372,4.80E-06,0,0,0
Diuris sulphurea,Asparagales,Orchidacae,Diuris,662,0.6,15.708,4.10E-05,0,0,1
Dodonaea filiformis,Sapindales,Sapindaceae,Dodonaea,664,2,0.172788,0.0021616,0,0,0
Dodonaea viscosa,Sapindales,Sapindaceae,Dodonaea,665,8,47.1239,0.0021616,0,0,1
Donatia novae-zelandiae,Asterales,Donatiaceae,Donatia,666,0.05,0.785398,0.000116,0,0,0
Doodia media,Polypodiales,Blechnaceae,Doodia,670,0.6,1.790707813,0.0033,0,0,1
Dracophyllum milliganii,Ericales,Ericaceae,Dracophyllum,672,0.2,2.35619,5.00E-05,0,0,0
Dracophyllum minimum,Ericales,Ericaceae,Dracophyllum,673,0.1,0.0942478,0.000156,0,0,0
Drosera arcturi,Caryophyllales,Droseraceae,Drosera,676,0.1,5.497787144,0.0001036,0,0,0
Drosera binata,Caryophyllales,Droseraceae,Drosera,678,0.1,7.85398,3.85E-05,0,0,1
Drosera macrantha,Caryophyllales,Droseraceae,Drosera,682,1.5,0.785398,3.85E-05,0,0,1
Drosera peltata,Caryophyllales,Droseraceae,Drosera,683,0.5,0.384845,1.16E-05,0,0,0
Drosera pygmaea,Caryophyllales,Droseraceae,Drosera,684,0.05,0.0392699,1.66E-05,0,0,0
Drosera spatulata,Caryophyllales,Droseraceae,Drosera,685,0.05,0.942478,2.20E-05,0,0,0
Drymophila cyanocarpa,Liliales,Luzuriagaceae,Drymophila,686,0.4,9.42478,0.0041172,0,0,0
Ehrharta acuminata,Poales,Poaceae,Ehrharta,691,0.6,3.76991,0.00120732,0,0,1
Ehrharta distichophylla,Poales,Poaceae,Ehrharta,692,1,2.51327,0.00120732,0,0,1
Ehrharta juncea,Poales,Poaceae,Ehrharta,693,1,1.64934,0.00120732,0,0,1
Ehrharta oreophila,Poales,Poaceae,Ehrharta,694,0.17,2.74889,0.00120732,0,0,1
Einadia nutans,Caryophyllales,Chenopodiaceae,Einadia,695,0.1,2.35619,0.00614412,0,0,1
Elatine gratioloides,Malpighiales,Elatinaceae,Elatine,697,0.05,0.589049,0.00010267,0,0,0
Eleocharis acuta,Poales,Cyperaceae,Eleocharis,698,0.6,7.06858,0.00143667,0,0,1
Eleocharis gracilis,Poales,Cyperaceae,Eleocharis,699,0.5,3.92699,0.0005076,0,0,0
Eleocharis pusilla,Poales,Cyperaceae,Eleocharis,700,0.25,0.981748,0.000484,0,0,0
Eleocharis sphacelata,Poales,Cyperaceae,Eleocharis,701,5,94.2478,0.0033184,0,0,0
Elymus repens,Poales,Poaceae,Elymus,703,0.9,15.708,0.00120732,0,0,1
Elymus scaber,Poales,Poaceae,Elymus,704,1.1,43.1969,0.00120732,0,0,1
Empodisma minus,Poales,Restionaceae,Empodisma,706,2,15.708,0.0014557,0,0,1
Epacris acuminata,Ericales,Ericaceae,Epacris,707,1.5,0.353429,4.52E-05,0,0,0
Epacris corymbiflora,Ericales,Ericaceae,Epacris,711,0.4,0.353429,5.80E-05,0,0,0
Epacris curtisiae,Ericales,Ericaceae,Epacris,712,2,0.212058,4.48E-05,0,0,0
Epacris glabella,Ericales,Ericaceae,Epacris,715,2,0.192423,6.92E-05,0,0,0
Epacris gunnii,Ericales,Ericaceae,Epacris,718,1,0.329867,3.24E-05,0,0,0
Epacris heteronema,Ericales,Ericaceae,Epacris,719,6,0.785398,3.12E-05,0,0,0
Epacris impressa,Ericales,Ericaceae,Epacris,720,1.2,0.296095,4.86E-05,0,0,1
Epacris lanuginosa,Ericales,Ericaceae,Epacris,721,1.6,0.306305,3.00E-05,0,0,0
Epacris obtusifolia,Ericales,Ericaceae,Epacris,728,1,0.279994,4.86E-05,0,0,1
Epacris serpyllifolia,Ericales,Ericaceae,Epacris,731,1,0.235619,4.17E-05,0,0,0
Epacris tasmanica,Ericales,Ericaceae,Epacris,733,1.5,0.392699,6.76E-05,0,0,0
Epacris virgata,Ericales,Ericaceae,Epacris,734,1.5,0.141372,6.60E-05,0,0,0
Epilobium billardierianum,Myrtales,Onagraceae,Epilobium,735,1,5.65487,4.99E-05,0,0,1
Epilobium curtisiae,Myrtales,Onagraceae,Epilobium,736,0.15,1.41372,4.99E-05,0,0,1
Epilobium gunnianum,Myrtales,Onagraceae,Epilobium,738,0.8,9.42478,6.12E-05,0,0,0
Epilobium hirtigerum,Myrtales,Onagraceae,Epilobium,739,1,3.76991,4.99E-05,0,0,1
Epilobium perpusillum,Myrtales,Onagraceae,Epilobium,741,0.08,0.219911,2.24E-05,0,0,0
Epilobium sarmentaceum,Myrtales,Onagraceae,Epilobium,742,0.4,4.71239,6.60E-05,0,0,0
Epilobium tasmanicum,Myrtales,Onagraceae,Epilobium,743,0.15,0.785398,4.99E-05,0,0,1
Erigeron bellidioides,Asterales,Asteraceae,Erigeron,746,0.3,9.42478,0.0006196,0,0,0
Erigeron gunnii,Asterales,Asteraceae,Erigeron,747,0.1,0.392699,0.0003344,0,0,0
Erigeron pappocromus,Asterales,Asteraceae,Erigeron,749,0.1,5.89049,0.0002428,0,0,0
Erigeron stellatus,Asterales,Asteraceae,Erigeron,750,0.1,2.74889,0.0005152,0,0,0
Erigeron tasmanicus,Asterales,Asteraceae,Erigeron,751,0.1,2.35619,0.000428,0,0,1
Eriochilus cucullatus,Asparagales,Orchidacae,Eriochilus,754,0.25,3.29867,1.24E-05,0,0,1
Eriostemon verrucosus,Sapindales,Rutaceae,Eriostemon,755,1,1.1781,0.00126821,0,0,1
Eriostemon virgatus,Sapindales,Rutaceae,Eriostemon,756,1,0.628319,0.00126821,0,0,1
Eryngium ovinum,Apiales,Apiaceae,Eryngium,757,0.6,39.2699,0.0015084,0,0,0
Eryngium vesiculosum,Apiales,Apiaceae,Eryngium,758,0.1,35.3429,0.0015084,0,0,1
Eucalyptus amygdalina,Myrtales,Myrtaceae,Eucalyptus,760,30,7.85398,0.0004436,0,0,0
Eucalyptus archeri,Myrtales,Myrtaceae,Eucalyptus,761,10,21.2058,0.00228284,0,0,0
Eucalyptus barberi,Myrtales,Myrtaceae,Eucalyptus,762,8,18.8496,0.0010712,0,0,0
Eucalyptus brookeriana,Myrtales,Myrtaceae,Eucalyptus,763,40,31.4159,0.00064804,0,0,0
Eucalyptus coccifera,Myrtales,Myrtaceae,Eucalyptus,764,15,38.4845,0.001119,0,0,0
Eucalyptus dalrympleana,Myrtales,Myrtaceae,Eucalyptus,766,40,39.2699,0.001232,0,0,0
Eucalyptus delegatensis,Myrtales,Myrtaceae,Eucalyptus,767,90,19.635,0.00093,0,0,0
Eucalyptus globulus,Myrtales,Myrtaceae,Eucalyptus,768,90,23.5619,0.00297,0,0,0
Eucalyptus gunnii,Myrtales,Myrtaceae,Eucalyptus,769,37,18.8496,0.0003888,0,0,0
Eucalyptus morrisbyi,Myrtales,Myrtaceae,Eucalyptus,771,12,31.4159,0.00096726,0,0,0
Eucalyptus nitida,Myrtales,Myrtaceae,Eucalyptus,773,18,23.5619,0.0003108,0,0,0
Eucalyptus obliqua,Myrtales,Myrtaceae,Eucalyptus,774,90,120.951,0.0007544,0,0,0
Eucalyptus ovata var ovata,Myrtales,Myrtaceae,Eucalyptus,775,20,35.3429,0.00043481,0,0,0
Eucalyptus pauciflora,Myrtales,Myrtaceae,Eucalyptus,776,8,40.2124,0.0008229,0,0,0
Eucalyptus pulchella,Myrtales,Myrtaceae,Eucalyptus,778,20,7.85398,0.0008628,0,0,0
Eucalyptus regnans,Myrtales,Myrtaceae,Eucalyptus,780,114,27.4889,0.0006028,0,0,0
Eucalyptus risdonii,Myrtales,Myrtaceae,Eucalyptus,781,8,39.2699,0.001115,0,0,0
Eucalyptus rodwayi,Myrtales,Myrtaceae,Eucalyptus,782,20,39.2699,0.0002408,0,0,0
Eucalyptus rubida,Myrtales,Myrtaceae,Eucalyptus,783,40,29.4524,0.00103685,0,0,1
Eucalyptus sieberi,Myrtales,Myrtaceae,Eucalyptus,784,30,32.9867,0.0034124,0,0,0
Eucalyptus subcrenulata,Myrtales,Myrtaceae,Eucalyptus,785,60,7.06858,0.0008188,0,0,0
Eucalyptus tenuiramis,Myrtales,Myrtaceae,Eucalyptus,786,25,5.49779,0.00145,0,0,0
Eucalyptus urnigera,Myrtales,Myrtaceae,Eucalyptus,787,40,37.6991,0.000842,0,0,0
Eucalyptus vernicosa,Myrtales,Myrtaceae,Eucalyptus,788,4,9.81748,0.00043285,0,0,0
Eucalyptus viminalis,Myrtales,Myrtaceae,Eucalyptus,789,40,29.4524,0.0007312,0,0,0
Euchiton collinus,Asterales,Asteraceae,Euchiton,791,0.35,14.1372,2.20E-05,0,0,0
Euchiton involucratus,Asterales,Asteraceae,Euchiton,792,0.5,15.708,1.81E-05,0,0,0
Euchiton litticola,Asterales,Asteraceae,Euchiton,793,0.1,0.706858,2.51E-05,0,0,1
Euchiton traversii,Asterales,Asteraceae,Euchiton,795,0.1,1.1781,3.52E-05,0,0,0
Euchiton umbricola,Asterales,Asteraceae,Euchiton,796,0.1,1.1781,2.51E-05,0,0,1
Eucryphia lucida,Oxalidales,Cunoniaceae,Eucryphia,797,30,4.24115,0.001068,0,0,1
Eucryphia milliganii,Oxalidales,Cunoniaceae,Eucryphia,798,3,1.5708,0.001068,0,0,0
Euphrasia collina,Lamiales,Scrophulariaceae,Euphrasia,800,0.6,0.392699,0.0002272,0,0,0
Euphrasia gibbsiae,Lamiales,Scrophulariaceae,Euphrasia,803,0.1,0.282743,0.0003348,0,0,0
Euphrasia scabra,Lamiales,Scrophulariaceae,Euphrasia,806,0.5,0.337721,5.44E-05,0,1,0
Euphrasia striata,Lamiales,Scrophulariaceae,Euphrasia,808,0.2,0.337721,0.0003204,0,1,0
Eurychorda complanata,Poales,Restionaceae,Eurychorda,809,1.2,6.02139,0.0014557,0,1,1
Euryomyrtus ramosissima,Myrtales,Myrtaceae,Euryomyrtus,810,0.6,0.109956,0.0008448,0,0,0
Ewartia catipes,Asterales,Asteraceae,Ewartia,812,0.1,0.19635,0.00011,0,0,0
Ewartia meredithiae,Asterales,Asteraceae,Ewartia,813,0.1,3.92699,0.0001052,0,0,0
Ewartia planchonii,Asterales,Asteraceae,Ewartia,814,0.1,0.274889,7.04E-05,0,0,0
Exocarpos cupressiformis,Santalales,Santalaceae,Exocarpos,815,10,0.00196349,0.0126197,0,0,1
Exocarpos humifusus,Santalales,Santalaceae,Exocarpos,816,0.4,0.00196349,0.01307,0,0,0
Exocarpos nanus,Santalales,Santalaceae,Exocarpos,817,0.1,0.00785398,0.0110068,0,0,0
Exocarpos strictus,Santalales,Santalaceae,Exocarpos,818,4,0.0235619,0.0137824,0,0,0
Exocarpos syrticola,Santalales,Santalaceae,Exocarpos,819,3.5,0.011781,0.0126197,0,0,1
Festuca arundinacea,Poales,Poaceae,Festuca,823,1.2,1.70824,0.00120732,0,1,1
Festuca plebeia,Poales,Poaceae,Festuca,825,0.9,1.70824,0.00120732,0,0,1
Forstera bellidifolia,Asterales,Stylidiaceae,Forstera,828,0.1,11.781,9.32E-05,0,1,0
Frankenia pauciflora var gunnii,Caryophyllales,Frankeniaceae,Frankenia,829,0.1,0.0863938,0.0002096,0,0,0
Gahnia filum,Poales,Cyperaceae,Gahnia,830,1.1,21.7073,0.0012004,0,1,0
Gahnia grandis,Poales,Cyperaceae,Gahnia,831,3.5,21.7073,0.0064264,0,1,0
Gahnia microstachya,Poales,Cyperaceae,Gahnia,833,0.45,21.7073,0.0025931,0,1,1
Gahnia radula,Poales,Cyperaceae,Gahnia,834,1,21.7073,0.0012972,0,1,0
Gahnia sieberiana,Poales,Cyperaceae,Gahnia,836,2,21.7073,0.0025931,0,1,1
Gahnia trifida,Poales,Cyperaceae,Gahnia,837,1,21.7073,0.0014484,0,1,0
Gaimardia amblyphylla,Poales,Centrolepidaceae,Gaimardia,838,0.1,0.314159,6.32E-05,1,1,1
Gaimardia fitzgeraldii,Poales,Centrolepidaceae,Gaimardia,839,0.1,0.314159,6.32E-05,0,0,0
Gaimardia setacea,Poales,Centrolepidaceae,Gaimardia,840,0.1,0.314159,6.32E-05,0,1,1
Galium australe,Gentianales,Rubiaceae,Galium,842,0.2,0.376991,0.0114775,0,0,1
Galium ciliare,Gentianales,Rubiaceae,Galium,843,0.2,0.392699,0.0114775,0,0,1
Galium gaudichaudii,Gentianales,Rubiaceae,Galium,844,0.3,0.0816814,0.0114775,0,0,1
Gastridium ventricosum,Poales,Poaceae,Gastridium,845,0.5,8.18651,0.00120732,0,1,1
Gastrodia sesamoides,Asparagales,Orchidacae,Gastrodia,847,0.3,14.937,1.24E-05,0,1,1
Gaultheria depressa,Ericales,Ericaceae,Gaultheria,848,0.05,0.628319,5.72E-05,0,0,0
Gaultheria hispida,Ericales,Ericaceae,Gaultheria,849,2,9.42478,4.48E-05,0,0,0
Gaultheria tasmanica,Ericales,Ericaceae,Gaultheria,851,0.05,0.141372,5.28E-05,0,0,0
Genoplesium archeri,Asparagales,Orchidacae,Genoplesium,853,0.2,14.937,1.24E-05,0,1,1
Gentianella diemensis,Gentianales,Gentianaceae,Gentianella,859,0.3,2.93543,0.0001792,0,1,0
Geranium potentilloides,Geranales,Geraniaceae,Geranium,865,0.5,13.7445,0.0032984,0,0,1
Geranium sessiliflorum,Geranales,Geraniaceae,Geranium,868,0.2,12.7627,0.0032984,0,1,0
Geranium solanderi,Geranales,Geraniaceae,Geranium,869,0.5,11.781,0.0032984,0,0,1
Gleichenia alpina,Gleicheniales,Gleicheniaceae,Gleichenia,873,0.3,0.636173,0.0033,0,1,1
Gleichenia dicarpa,Gleicheniales,Gleicheniaceae,Gleichenia,874,1.5,0.636173,0.0033,0,1,1
Gleichenia microphylla,Gleicheniales,Gleicheniaceae,Gleichenia,875,1.5,0.636173,0.0033,0,1,1
Glossodia major,Asparagales,Orchidacae,Glossodia,876,0.3,70.6858,9.20E-06,0,0,0
Glossostigma elatinoides,Lamiales,Scrophulariaceae,Glossostigma,877,0.1,2.97142,0.000166678,0,1,1
Glycine clandestina,Fabales,Fabaceae,Glycine,879,1,6.28319,0.0057204,0,0,1
Glycine latrobeana,Fabales,Fabaceae,Glycine,880,0.1,6.28319,0.0057204,0,1,0
Gnaphalium argentifolium,Asterales,Asteraceae,Gnaphalium,882,0.06,0.628319,4.03E-05,0,0,1
Gnaphalium collinum,Asterales,Asteraceae,Gnaphalium,883,0.1,1.5708,4.03E-05,0,0,1
Gnaphalium indutum,Asterales,Asteraceae,Gnaphalium,884,0.08,0.235619,4.03E-05,0,0,0
