species_name,plant_height_max_Barlow_1981,plant_height_max_CPBR_2002,plant_height_max_GrassBase_2014,plant_height_max_Mokany_2015,plant_height_max_RBGSYD_2014_2,plant_height_max_SAH_2014,plant_height_max_TMAG_2009,plant_height_max_WAH_1998,plant_height_to_keep_max,plant_height_unique,original_name
Cenarrhenes nitida,10,NA,NA,10,NA,NA,NA,NA,omit,NA,Cenarrhenes nitida
Centaurium tenuiflorum,NA,NA,NA,0.4,0.4,0.35,NA,NA,omit,NA,Centaurium tenuiflorum
Centella cordifolia,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Centella cordifolia
Centipeda elatinoides,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Centipeda elatinoides
Centipeda minima,NA,NA,NA,0.2,0.2,0.2,NA,0.2,omit,NA,Centipeda minima
Centrolepis aristata,NA,NA,NA,0.1,0.09,0.1,NA,0.2,omit,NA,Centrolepis aristata
Centrolepis fascicularis,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Centrolepis fascicularis
Centrolepis monogyna,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Centrolepis monogyna
Centrolepis muscoides,NA,NA,NA,0.07,NA,NA,NA,NA,keep,plant_height_to_keep,Centrolepis muscoides
Centrolepis polygyna,NA,NA,NA,0.07,0.07,0.06,NA,0.07,omit,NA,Centrolepis polygyna
Centrolepis strigosa,NA,NA,NA,0.11,0.11,0.07,NA,0.11,omit,NA,Centrolepis strigosa
Chaerophyllum australianum,NA,NA,NA,0.45,NA,NA,NA,NA,keep,plant_height_to_keep,Oreomyrrhis ciliata
Chaerophyllum eriopodum,NA,NA,NA,0.5,0.5,0.3,NA,NA,omit,NA,Oreomyrrhis eriopoda
Chamaescilla corymbosa,0.4,NA,NA,0.15,NA,0.15,NA,0.4,omit,NA,Chamaescilla corymbosa
Cheesemania radicata,NA,NA,NA,0.49,NA,NA,NA,NA,keep,plant_height_to_keep,Cheesemania radicata
Cheilanthes austrotenuifolia,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Cheilanthes austrotenuifolia
Cheilanthes sieberi,NA,NA,NA,0.35,NA,NA,NA,NA,keep,plant_height_to_keep,Cheilanthes sieberi
Chiloglottis cornuta,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Chiloglottis cornuta
Chiloglottis grammata,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Chiloglottis grammata
Chiloglottis gunnii,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Chiloglottis gunnii
Chiloglottis reflexa,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Chiloglottis reflexa
Chiloglottis triceratops,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Chiloglottis triceratops
Chordifex hookeri,NA,NA,NA,1.4,NA,NA,NA,NA,keep,plant_height_to_keep,Chordifex hookeri
Chordifex hookeri,NA,NA,NA,1.4,NA,NA,NA,NA,keep,plant_height_to_keep,Restio hookeri
Chordifex monocephalus,NA,NA,NA,1.4,NA,NA,NA,NA,keep,plant_height_to_keep,Restio monocephalus
Chrysocephalum apiculatum,NA,NA,NA,0.4,0.6,0.6,NA,0.8,keep,plant_height_to_keep,Chrysocephalum apiculatum
Chrysocephalum semipapposum,NA,NA,NA,0.4,NA,NA,NA,NA,keep,plant_height_to_keep,Chrysocephalum semipapposum
Clematis aristata,15,NA,NA,6,6,NA,NA,NA,omit,NA,Clematis aristata
Clematis gentianoides,NA,NA,NA,0.45,NA,NA,0.65,NA,keep,plant_height_to_keep,Clematis gentianoides
Clematis microphylla,5,NA,NA,6,3,NA,NA,NA,keep,plant_height_to_keep,Clematis microphylla
Colobanthus apetalus,NA,NA,NA,0.08,NA,NA,NA,NA,keep,plant_height_to_keep,Colobanthus apetalus
Comesperma calymega,NA,NA,NA,0.5,NA,0.5,NA,0.5,omit,NA,Comesperma calymega
Comesperma defoliatum,NA,NA,NA,0.4,0.6,NA,NA,NA,keep,plant_height_to_keep,Comesperma defoliatum
Comesperma ericinum,NA,NA,NA,1.5,1.5,NA,NA,NA,omit,NA,Comesperma ericinum
Comesperma retusum,NA,NA,NA,1.5,1.5,NA,NA,NA,omit,NA,Comesperma retusum
Comesperma volubile,NA,NA,NA,2,NA,NA,NA,2,omit,NA,Comesperma volubile
Convolvulus angustissimus,NA,NA,NA,0.1,NA,NA,NA,0.6,keep,plant_height_to_keep,Convolvulus angustissimus
Convolvulus erubescens,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Convolvulus erubescens
Coprosma hirtella,NA,NA,NA,2,2,NA,NA,NA,omit,NA,Coprosma hirtella
Coprosma moorei,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Coprosma moorei
Coprosma nitida,NA,NA,NA,2,2,NA,NA,NA,omit,NA,Coprosma nitida
Coprosma perpusilla,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Coprosma perpusilla
Coprosma pumila,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Coprosma pumila
Coprosma quadrifida,NA,NA,NA,4,4,NA,NA,NA,omit,NA,Coprosma quadrifida
Coronidium scorpioides,NA,NA,NA,0.5,NA,NA,NA,NA,keep,plant_height_to_keep,Coronidium scorpioides
Correa alba,NA,NA,NA,1.5,1.5,NA,3,NA,omit,NA,Correa alba
Correa backhouseana,NA,NA,NA,2,NA,NA,NA,2.5,keep,plant_height_to_keep,Correa backhousiana
Correa lawrenceana,NA,NA,NA,9,0.9,NA,NA,NA,keep,plant_height_to_keep,Correa lawrenceana
Correa reflexa,NA,NA,NA,1.5,1.5,NA,3,NA,omit,NA,Correa reflexa
Corybas aconitiflorus,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Corybas aconitiflorus
Corybas diemenicus,NA,NA,NA,0.04,NA,0.04,NA,NA,omit,NA,Corybas diemenicus
Corybas incurvus,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Corysanthes incurva
Cotula alpina,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Cotula alpina
Cotula australis,NA,NA,NA,0.1,NA,0.12,NA,0.2,keep,plant_height_to_keep,Cotula australis
Craspedia alpina,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Craspedia alpina
Craspedia glauca,NA,NA,NA,0.6,NA,0.8,NA,NA,keep,plant_height_to_keep,Craspedia glauca
Craspedophyllum marginatum,NA,NA,NA,0.04,NA,NA,NA,NA,keep,plant_height_to_keep,Hymenophyllum marginatum
Crassula decumbens,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Crassula decumbens
Crassula helmsii,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Crassula helmsii
Crassula peduncularis,NA,NA,NA,0.06,NA,NA,NA,0.5,keep,plant_height_to_keep,Crassula peduncularis
Crassula sieberiana,NA,NA,NA,0.2,NA,NA,NA,0.1,keep,plant_height_to_keep,Crassula sieberiana
Crepidomanes venosum,NA,NA,NA,0.14,NA,NA,NA,NA,keep,plant_height_to_keep,Crepidomanes venosum
Crocosmia x crocosmiiflora,NA,NA,NA,1,1,NA,NA,NA,omit,NA,Crocosmia Xcrocosmiiflora
Cryptandra amara,NA,NA,NA,1,1,1,NA,NA,omit,NA,Cryptandra amara
Cryptostylis subulata,NA,NA,NA,0.35,NA,0.9,NA,NA,keep,plant_height_to_keep,Cryptostylis subulata
Ctenopteris heterophylla,NA,NA,NA,0.25,NA,NA,NA,NA,keep,plant_height_to_keep,Ctenopteris heterophylla
Cyathea australis,NA,NA,NA,12,20,NA,NA,NA,keep,plant_height_to_keep,Cyathea australis
Cyathodes glauca,NA,NA,NA,5,NA,NA,NA,NA,keep,plant_height_to_keep,Cyathodes glauca
Cyathodes straminea,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Cyathodes straminea
Cycnogeton procerum,NA,NA,NA,0.15,NA,NA,NA,NA,keep,plant_height_to_keep,Triglochin procera
Cycnogeton procerum,NA,NA,NA,0.15,NA,NA,NA,NA,keep,plant_height_to_keep,Triglochin procerum
Cycnogeton rheophilum,NA,NA,NA,0.15,NA,NA,NA,NA,keep,plant_height_to_keep,Triglochin rheophilum
Cymbonotus preissianus,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Cymbonotus preissianus
Cynoglossum suaveolens,NA,NA,NA,0.5,0.5,0.4,NA,NA,omit,NA,Cynoglossum suaveolens
Cyperus gunnii,NA,NA,NA,1.5,1.5,0.6,NA,NA,omit,NA,Cyperus gunnii
Cyphanthera tasmanica,NA,NA,NA,4,NA,NA,4,NA,omit,NA,Cyphanthera tasmanica
Cyrtostylis reniformis,NA,NA,NA,0.27,0.27,0.15,NA,0.3,omit,NA,Cyrtostylis reniformis
Cystopteris tasmanica,NA,NA,NA,0.35,NA,NA,NA,NA,keep,plant_height_to_keep,Cystopteris tasmanica
Dampiera stricta,0.6,NA,NA,0.6,0.6,NA,0.6,NA,omit,NA,Dampiera stricta
Danthonia decumbens,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Danthonia decumbens
Daucus glochidiatus,NA,NA,NA,0.6,0.6,0.6,NA,0.2,omit,NA,Daucus glochidiatus
Daviesia latifolia,NA,NA,NA,3,3,NA,NA,NA,omit,NA,Daviesia latifolia
Daviesia ulicifolia,NA,NA,NA,2,2,2,NA,NA,omit,NA,Daviesia ulicifolia
Deyeuxia innominata,NA,NA,0.25,0.3,0.3,NA,NA,NA,omit,NA,Deyeuxia innominata
Deyeuxia monticola,NA,NA,1.35,0.7,0.7,NA,NA,NA,omit,NA,Deyeuxia monticola
Dianella amoena,NA,NA,NA,0.45,NA,NA,NA,NA,keep,plant_height_to_keep,Dianella amoena
Dianella brevicaulis,0.5,NA,NA,0.5,NA,NA,NA,0.5,omit,NA,Dianella brevicaulis
Dianella revoluta,0.8,NA,NA,1,1,NA,NA,1.5,omit,NA,Dianella revoluta
Dianella tasmanica,0.9,NA,NA,0.8,0.9,NA,NA,NA,keep,plant_height_to_keep,Dianella tasmanica
Dichelachne crinita,NA,NA,1.25,1.5,1.5,NA,NA,NA,omit,NA,Dichelachne crinita
Dichelachne inaequiglumis,NA,NA,1.35,1,1,1.3,NA,NA,omit,NA,Dichelachne inaequiglumis
Dichelachne micrantha,NA,NA,0.95,1.2,1.2,1.1,NA,NA,omit,NA,Dichelachne micrantha
Dichelachne rara,NA,NA,1.3,1.2,1.2,NA,NA,NA,omit,NA,Dichelachne rara
Dichondra repens,NA,NA,NA,0.1,NA,NA,0.1,NA,omit,NA,Dichondra repens
Dichopogon strictus,0.65,NA,NA,1,1,NA,NA,NA,omit,NA,Arthropodium strictum
Dichosciadium ranunculaceum,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Dichosciadium ranunculaceum var tasmanicum
Digitaria sanguinalis,NA,NA,NA,1,NA,0.7,NA,NA,keep,plant_height_to_keep,Digitaria sanguinalis
Dillwynia cinerascens,NA,NA,NA,1.5,1.5,NA,NA,NA,omit,NA,Dillwynia cinerascens
Dillwynia glaberrima,NA,NA,NA,2,2,2,NA,NA,omit,NA,Dillwynia glaberrima
Dillwynia sericea,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Dillwynia sericea
Diplarrena latifolia,1,NA,NA,1,NA,NA,NA,NA,omit,NA,Diplarrena latifolia
Diplarrena moraea,0.7,NA,NA,100,NA,NA,NA,NA,keep,plant_height_to_keep,Diplarrena moraea
Diplaspis cordifolia,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Diplaspis cordifolia
Diplaspis hydrocotylea,NA,NA,NA,0.1,0.12,NA,NA,NA,keep,plant_height_to_keep,Diplaspis hydrocotyle
Dipodium roseum,NA,NA,NA,0.8,NA,NA,NA,NA,keep,plant_height_to_keep,Dipodium roseum
Dipsacus fullonum,NA,NA,NA,2.5,2,NA,NA,NA,keep,plant_height_to_keep,Dipsacus fullonum
Diselma archeri,6,NA,NA,2.5,NA,NA,NA,NA,keep,plant_height_to_keep,Diselma archeri
Disphyma crassifolium,NA,NA,NA,0.1,NA,NA,0.3,0.3,keep,plant_height_to_keep,Disphyma crassifolium
Distichlis distichophylla,NA,NA,0.6,0.3,0.3,0.3,NA,NA,omit,NA,Distichlis distichophylla
Dittrichia graveolens,NA,NA,NA,0.5,0.6,0.5,NA,NA,omit,NA,Dittrichia graveolens
Diuris chryseopsis,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Diuris chryseopsis
Diuris orientis,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Diuris orientis
Diuris pardina,NA,NA,NA,0.4,NA,NA,NA,NA,keep,plant_height_to_keep,Diuris pardina
Diuris sulphurea,NA,NA,NA,0.6,NA,0.5,NA,NA,keep,plant_height_to_keep,Diuris sulphurea
Dodonaea filiformis,2,NA,NA,2,NA,NA,2,NA,omit,NA,Dodonaea filiformis
Dodonaea viscosa,8,NA,NA,8,8,4,NA,5,omit,NA,Dodonaea viscosa
Donatia novae-zelandiae,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Donatia novae-zelandiae
Dracophyllum milligani,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Dracophyllum milliganii
Dracophyllum minimum,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Dracophyllum minimum
Drosera arcturi,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Drosera arcturi
Drosera binata,NA,NA,NA,0.1,NA,NA,NA,0.15,keep,plant_height_to_keep,Drosera binata
Drosera macrantha,NA,NA,NA,1.5,NA,NA,NA,1.5,omit,NA,Drosera macrantha
Drosera peltata,NA,NA,NA,0.5,0.5,NA,NA,NA,omit,NA,Drosera peltata
Drosera pygmaea,NA,NA,NA,0.05,NA,NA,NA,0.02,keep,plant_height_to_keep,Drosera pygmaea
Drosera spatulata,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Drosera spatulata
Drymophila cyanocarpa,0.4,NA,NA,0.4,0.4,NA,NA,NA,omit,NA,Drymophila cyanocarpa
Ehrharta acuminata,NA,NA,0.6,0.6,NA,NA,NA,NA,omit,NA,Ehrharta acuminata
Ehrharta distichophylla,NA,NA,0.4,1,NA,0.6,NA,NA,keep,plant_height_to_keep,Ehrharta distichophylla
Ehrharta distichophylla,NA,NA,0.4,1,NA,0.6,NA,NA,keep,plant_height_to_keep,Tetrarrhena distichophylla
Ehrharta juncea,NA,NA,4,1,NA,NA,NA,NA,keep,plant_height_to_keep,Ehrharta juncea
Ehrharta oreophila,NA,NA,0.3,0.17,NA,NA,NA,NA,keep,plant_height_to_keep,Ehrharta oreophila
Ehrharta stipoides,NA,NA,0.75,0.7,0.7,0.6,NA,NA,omit,NA,Microlaena stipoides
Ehrharta tasmanica,NA,NA,1,0.7,NA,NA,NA,NA,keep,plant_height_to_keep,Microlaena tasmanica
Einadia nutans,NA,NA,NA,0.1,NA,NA,0.6,NA,keep,plant_height_to_keep,Einadia nutans
Elatine gratioloides,NA,NA,NA,0.05,NA,NA,0.3,NA,keep,plant_height_to_keep,Elatine gratioloides
Eleocharis acuta,NA,NA,NA,0.6,0.6,0.9,NA,0.7,omit,NA,Eleocharis acuta
Eleocharis gracilis,NA,NA,NA,0.5,0.5,0.2,NA,NA,omit,NA,Eleocharis gracilis
Eleocharis pusilla,NA,NA,NA,0.25,0.15,NA,NA,0.15,keep,plant_height_to_keep,Eleocharis pusilla
Eleocharis sphacelata,NA,NA,NA,5,5,2,NA,2,omit,NA,Eleocharis sphacelata
Elymus repens,NA,NA,NA,0.9,1,1,NA,NA,keep,plant_height_to_keep,Elymus repens
Elymus scabrus,NA,NA,NA,1.1,1.1,NA,NA,NA,omit,NA,Elymus scaber
Empodisma minus,NA,NA,NA,2,NA,NA,NA,NA,keep,plant_height_to_keep,Empodisma minus
Epacris acuminata,NA,NA,NA,1.5,NA,NA,NA,NA,keep,plant_height_to_keep,Epacris acuminata
Epacris corymbiflora,NA,NA,NA,0.4,NA,NA,NA,NA,keep,plant_height_to_keep,Epacris corymbiflora
Epacris curtisiae,NA,NA,NA,2,NA,NA,NA,NA,keep,plant_height_to_keep,Epacris curtisiae
Epacris glabella,NA,NA,NA,2,NA,NA,NA,NA,keep,plant_height_to_keep,Epacris glabella
Epacris gunnii,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Epacris gunnii
Epacris heteronema,NA,NA,NA,6,NA,NA,NA,NA,keep,plant_height_to_keep,Epacris heteronema
Epacris impressa,NA,NA,NA,1.2,NA,1.2,NA,NA,omit,NA,Epacris impressa
Epacris lanuginosa,NA,NA,NA,1.6,NA,NA,NA,NA,keep,plant_height_to_keep,Epacris lanuginosa
Epacris obtusifolia,NA,NA,NA,1,1,NA,NA,NA,omit,NA,Epacris obtusifolia
Epacris serpyllifolia,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Epacris serpyllifolia
Epacris squarrosa,NA,NA,NA,1.5,NA,NA,NA,NA,keep,plant_height_to_keep,Epacris tasmanica
Epacris virgata,NA,NA,NA,1.5,NA,NA,NA,NA,keep,plant_height_to_keep,Epacris virgata
Epilobium billardierianum,1,NA,NA,1,1,NA,NA,0.7,omit,NA,Epilobium billardierianum
Epilobium curtisiae,0.15,NA,NA,0.15,0.15,NA,NA,NA,omit,NA,Epilobium curtisiae
Epilobium gunnianum,0.8,NA,NA,0.8,0.8,NA,NA,NA,omit,NA,Epilobium gunnianum
Epilobium hirtigerum,1.4,NA,NA,1,NA,1.2,NA,1.5,keep,plant_height_to_keep,Epilobium hirtigerum
Epilobium sarmentaceum,0.2,NA,NA,0.4,NA,NA,NA,NA,keep,plant_height_to_keep,Epilobium sarmentaceum
Epilobium tasmanicum,0.15,NA,NA,0.15,0.15,NA,NA,NA,omit,NA,Epilobium perpusillum
Epilobium tasmanicum,0.15,NA,NA,0.15,0.15,NA,NA,NA,omit,NA,Epilobium tasmanicum
Erechtites minima,NA,NA,NA,1,1,1,NA,1.1,omit,NA,Senecio minimus
Erigeron bellidioides,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Erigeron bellidioides
Erigeron gunnii,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Erigeron gunnii
Erigeron pappocromus,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Erigeron pappocromus
Erigeron stellatus,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Erigeron stellatus
Erigeron tasmanicus,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Erigeron tasmanicus
Eriochilus cucullatus,NA,NA,NA,0.25,0.3,0.22,NA,NA,keep,plant_height_to_keep,Eriochilus cucullatus
Eriostemon verrucosus,NA,NA,NA,1,NA,0.6,1,NA,omit,NA,Eriostemon verrucosus
Eriostemon verrucosus,NA,NA,NA,1,NA,0.6,1,NA,omit,NA,Philotheca verrucosa
Eriostemon virgatus,NA,NA,NA,4,NA,NA,4,NA,omit,NA,Eriostemon virgatus
Eriostemon virgatus,NA,NA,NA,4,NA,NA,4,NA,omit,NA,Philotheca virgata
Eryngium ovinum,NA,NA,NA,0.6,0.6,NA,NA,NA,omit,NA,Eryngium ovinum
Eryngium vesiculosum,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Eryngium vesiculosum
Eucalyptus ambigua,NA,40,NA,18,NA,NA,NA,NA,keep,plant_height_to_keep,Eucalyptus nitida
Eucalyptus amygdalina,NA,30,NA,30,NA,NA,NA,NA,omit,NA,Eucalyptus amygdalina
Eucalyptus archeri,NA,12,NA,10,NA,NA,NA,NA,keep,plant_height_to_keep,Eucalyptus archeri
Eucalyptus barberi,NA,8,NA,8,NA,NA,NA,NA,omit,NA,Eucalyptus barberi
Eucalyptus brookeriana,NA,40,NA,40,NA,NA,NA,NA,omit,NA,Eucalyptus brookeriana
Eucalyptus coccifera,NA,15,NA,15,NA,NA,NA,NA,omit,NA,Eucalyptus coccifera
Eucalyptus dalrympleana,NA,40,NA,40,40,NA,NA,NA,omit,NA,Eucalyptus dalrympleana
Eucalyptus delegatensis,NA,90,NA,90,50,NA,NA,NA,omit,NA,Eucalyptus delegatensis
Eucalyptus globulus,NA,70,NA,90,40,NA,NA,NA,keep,plant_height_to_keep,Eucalyptus globulus
Eucalyptus gunnii,NA,25,NA,37,NA,NA,NA,NA,keep,plant_height_to_keep,Eucalyptus gunnii
Eucalyptus morrisbyi,NA,16,NA,12,NA,NA,NA,NA,keep,plant_height_to_keep,Eucalyptus morrisbyi
Eucalyptus obliqua,NA,90,NA,90,50,30,NA,NA,omit,NA,Eucalyptus obliqua
Eucalyptus ovata,NA,15,NA,20,30,17,NA,NA,keep,plant_height_to_keep,Eucalyptus ovata var ovata
Eucalyptus pauciflora,NA,30,NA,8,20,13,NA,NA,keep,plant_height_to_keep,Eucalyptus pauciflora
Eucalyptus pulchella,NA,20,NA,20,NA,NA,NA,NA,omit,NA,Eucalyptus pulchella
Eucalyptus regnans,NA,90,NA,114,NA,NA,NA,NA,keep,plant_height_to_keep,Eucalyptus regnans
Eucalyptus risdonii,NA,8,NA,8,NA,NA,NA,NA,omit,NA,Eucalyptus risdonii
Eucalyptus rodwayi,NA,20,NA,20,NA,NA,NA,NA,omit,NA,Eucalyptus rodwayi
Eucalyptus rubida,NA,20,NA,40,40,33,NA,NA,omit,NA,Eucalyptus rubida
Eucalyptus sieberi,NA,35,NA,30,30,NA,NA,NA,omit,NA,Eucalyptus sieberi
Eucalyptus subcrenulata,NA,20,NA,60,NA,NA,NA,NA,keep,plant_height_to_keep,Eucalyptus subcrenulata
Eucalyptus tenuiramis,NA,25,NA,25,NA,NA,NA,NA,omit,NA,Eucalyptus tenuiramis
Eucalyptus urnigera,NA,15,NA,40,NA,NA,NA,NA,keep,plant_height_to_keep,Eucalyptus urnigera
Eucalyptus vernicosa,NA,4,NA,4,NA,NA,NA,NA,omit,NA,Eucalyptus vernicosa
Eucalyptus viminalis,NA,90,NA,40,30,35,NA,NA,keep,plant_height_to_keep,Eucalyptus viminalis
Euchiton collinus,NA,NA,NA,0.35,0.35,0.35,NA,NA,omit,NA,Euchiton collinus
Euchiton involucratus,NA,NA,NA,0.5,0.5,0.5,NA,NA,omit,NA,Euchiton involucratus
Euchiton involucratus,NA,NA,NA,0.5,0.5,0.5,NA,NA,omit,NA,Gnaphalium involucratum
Euchiton litticola,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Euchiton litticola
Euchiton traversii,NA,NA,NA,0.1,0.09,NA,NA,NA,keep,plant_height_to_keep,Euchiton traversii
Euchiton traversii,NA,NA,NA,0.1,0.09,NA,NA,NA,keep,plant_height_to_keep,Gnaphalium traversii
Euchiton umbricola,NA,NA,NA,0.15,0.15,NA,NA,NA,omit,NA,Euchiton umbricola
Euchiton umbricola,NA,NA,NA,0.15,0.15,NA,NA,NA,omit,NA,Gnaphalium umbricola
Eucryphia lucida,NA,NA,NA,30,NA,NA,30,NA,omit,NA,Eucryphia lucida
Eucryphia milliganii,NA,NA,NA,3,NA,NA,3,NA,omit,NA,Eucryphia milliganii
Euphrasia collina,NA,NA,NA,0.6,0.6,0.8,NA,0.47,omit,NA,Euphrasia collina
Euphrasia collina var. striata,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Euphrasia striata
Euphrasia gibbsiae,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Euphrasia gibbsiae
Euphrasia scabra,NA,NA,NA,0.5,0.5,0.5,NA,0.35,omit,NA,Euphrasia scabra
Eurychorda complanata,NA,NA,NA,1.2,1.2,NA,NA,NA,omit,NA,Eurychorda complanata
Eurychorda complanata,NA,NA,NA,1.2,1.2,NA,NA,NA,omit,NA,Restio complanatus
Euryomyrtus ramosissima,NA,NA,NA,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Baeckea ramosissima
Euryomyrtus ramosissima,NA,NA,NA,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Euryomyrtus ramosissima
Ewartia catipes,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Ewartia catipes
Ewartia meredithae,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Ewartia meredithiae
Ewartia planchonii,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Ewartia planchonii
Exocarpos cupressiformis,8,NA,NA,10,8,8,8,NA,keep,plant_height_to_keep,Exocarpos cupressiformis
Exocarpos humifusus,1,NA,NA,0.4,NA,NA,NA,NA,keep,plant_height_to_keep,Exocarpos humifusus
Exocarpos nanus,1,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Exocarpos nanus
Exocarpos strictus,3.5,NA,NA,4,3.5,6,3,NA,keep,plant_height_to_keep,Exocarpos strictus
Exocarpos syrticolus,3.5,NA,NA,3.5,NA,3.6,NA,NA,omit,NA,Exocarpos syrticola
Festuca arundinacea,NA,NA,NA,1.2,1.2,1,NA,NA,omit,NA,Festuca arundinacea
Festuca plebeia,NA,NA,0.9,0.9,NA,NA,NA,NA,omit,NA,Festuca plebeia
Ficinia nodosa,NA,NA,NA,1,1,1.5,NA,1,omit,NA,Isolepis nodosa
Filago gallica,NA,NA,NA,0.93,NA,0.2,NA,NA,keep,plant_height_to_keep,Logfia gallica
Forstera bellidifolia,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Forstera bellidifolia
Frankenia pauciflora,NA,NA,NA,0.1,NA,NA,NA,0.5,keep,plant_height_to_keep,Frankenia pauciflora var gunnii
Gahnia filum,NA,NA,NA,1.1,0.6,NA,NA,NA,keep,plant_height_to_keep,Gahnia filum
Gahnia grandis,NA,NA,NA,3.5,2.5,NA,NA,NA,keep,plant_height_to_keep,Gahnia grandis
Gahnia microstachya,NA,NA,NA,0.45,0.45,NA,NA,NA,omit,NA,Gahnia microstachya
Gahnia radula,NA,NA,NA,1,1,1,NA,NA,omit,NA,Gahnia radula
Gahnia sieberiana,NA,NA,NA,2,2,2.5,NA,NA,omit,NA,Gahnia sieberiana
Gahnia trifida,NA,NA,NA,1,NA,1,NA,1.5,omit,NA,Gahnia trifida
Gaimardia amblyphylla,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Gaimardia amblyphylla
Gaimardia fitzgeraldii,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Gaimardia fitzgeraldii
Gaimardia setacea,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Gaimardia setacea
Galium australe,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Galium australe
Galium ciliare,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Galium ciliare
Galium gaudichaudii,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Galium gaudichaudii
Gastridium ventricosum,NA,NA,NA,0.5,NA,NA,NA,NA,keep,plant_height_to_keep,Gastridium ventricosum
Gastrodia sesamoides,NA,NA,NA,0.3,0.75,0.8,NA,NA,keep,plant_height_to_keep,Gastrodia sesamoides
Gaultheria depressa,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Gaultheria depressa
