Species_name,Family,Synonyms,Resprouter,Location,Citation code,Notes,life.history,bud.position,dim.1,dim.2
Sporobolus australasicus,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Sporobolus carolii,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Sporobolus creber,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Sporobolus indicus,Poaceae,NA,No,Australia,ISSG 2000,NA,Perennial,C,-1.119207892,0.248595452
Sporobolus mitchellii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Sporobolus pulchellus,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Sporobolus pyramidalis,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Sporobolus virginicus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Stipa aquarii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Stipa bigeniculata,Poaceae,NA,Yes,Australia,Lunt 1990,NA,Perennial,C,NA,NA
Stipa nitida,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Stipa pubescens,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Stipa rudis,Poaceae,Austrostipa rudis ssp rudis,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Stipa scabra,Poaceae,Austrostipa scabra ssp falcata,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Symplectrodia gracilis,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Tetrarrhena juncea,Poaceae,NA,No,Oceania,Moore 2018,NA,NA,NA,NA,NA
Thaumastochloa major,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Themeda arguens,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Annual,C,NA,NA
Themeda avenacea,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Themeda triandra,Poaceae,NA,Yes,Australia,Morgan 1999,NA,Perennial,C,1.098513414,0.241086576
Thyridolepis mitchelliana,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Thyridolepis xerophila,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Tragus australianus,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Triodia basedowii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,-1.595020894,-2.339829187
Triodia bitextura,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Triodia brizoides,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Triodia bynoei,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Triodia fitzgeraldii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Triodia hubbardii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Triodia irritans,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Triodia longiceps,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,-2.96110473,-2.533827046
Triodia melvillei,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Triodia microstachya,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Triodia plectrachnoides,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Triodia pungens,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,-2.518457294,-0.78880754
Triodia scariosa,Poaceae,NA,Yes,Australia,Seager 2004,NA,Perennial,C,NA,NA
Triodia schinzii,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Triodia spicata,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Triodia stenostachya,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Tripogon loliiformis,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Triraphis mollis,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Vulpia bromoides,Poaceae,NA,No,Australia,Lunt 1990,NA,Annual,NA,NA,NA
Walwhalleya proluta,Poaceae,NA,No,Oceania,Moore 2018,NA,NA,NA,NA,NA
Whiteochloa capillipes,Poaceae,NA,No,Australia,Crowley 2007,NA,Both,C,NA,NA
Xerochloa imberbis,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Xerochloa laniflora,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,S,NA,NA
Yakirra australiensis,Poaceae,NA,No,Australia,Crowley 2007,NA,Both,NA,NA,NA
Yakirra majuscula,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Yakirra pauciflora,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Zoysia macrantha,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,R,NA,NA
Zygochloa paradoxa,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
