taxon_name,trait_name,value_type,value,unit,notes,,observation_id,original_name,value_original,leaf,form,original_text
Dodonaea viscosa subsp. cuneata,leaf_length,minimum,10,mm,good,,841,Dodonaea viscosa ssp. cuneata,10,,,
Dodonaea viscosa subsp. cuneata,leaf_length,maximum,30,mm,good,,841,Dodonaea viscosa ssp. cuneata,30,,,
Dodonaea viscosa subsp. cuneata,leaf_width,minimum,4,mm,good,,841,Dodonaea viscosa ssp. cuneata,4,,,
Dodonaea viscosa subsp. cuneata,leaf_width,maximum,10,mm,good,,841,Dodonaea viscosa ssp. cuneata,10,,,
Dodonaea viscosa subsp. mucronata,leaf_length,minimum,25,mm,good,,842,Dodonaea viscosa ssp. mucronata,25,,,
Dodonaea viscosa subsp. mucronata,leaf_length,maximum,60,mm,good,,842,Dodonaea viscosa ssp. mucronata,60,,,
Dodonaea viscosa subsp. mucronata,leaf_width,minimum,10,mm,good,,842,Dodonaea viscosa ssp. mucronata,10,,,
Dodonaea viscosa subsp. mucronata,leaf_width,maximum,25,mm,good,,842,Dodonaea viscosa ssp. mucronata,25,,,
Drosera binata,leaf_length,minimum,20,mm,remove-lobes,leaf_lobes,844,Drosera binata,20,"leaves radical, erect; lamina once or twice forked, with linear lobes 2-10 cm long, circinnate when young; petiole slender, 4-30 cm long, glabrous;",herb with fibrous roots;,"Description: Herb with fibrous roots; stem very short, but stolons often present; leaves radical, erect; lamina once or twice forked, with linear lobes 2-10 cm long, circinnate when young; petiole slender, 4-30 cm long, glabrous; stipules membranous, 3-5 mm long; scapes 1 or 2, to 50 cm long, glabrous.Inflorescence branched, 15-30-flowered; bracts linear, 1-2 mm long; pedicels 5-15 mm long; sepals ovate, acute or laciniate, 6-7 mm long; petals obovate, 9-14 mm long, white; styles 3, with a few dichotomous branches."
Drosera binata,leaf_length,maximum,100,mm,remove-lobes,leaf_lobes,844,Drosera binata,100,"leaves radical, erect; lamina once or twice forked, with linear lobes 2-10 cm long, circinnate when young; petiole slender, 4-30 cm long, glabrous;",herb with fibrous roots;,"Description: Herb with fibrous roots; stem very short, but stolons often present; leaves radical, erect; lamina once or twice forked, with linear lobes 2-10 cm long, circinnate when young; petiole slender, 4-30 cm long, glabrous; stipules membranous, 3-5 mm long; scapes 1 or 2, to 50 cm long, glabrous.Inflorescence branched, 15-30-flowered; bracts linear, 1-2 mm long; pedicels 5-15 mm long; sepals ovate, acute or laciniate, 6-7 mm long; petals obovate, 9-14 mm long, white; styles 3, with a few dichotomous branches."
Duboisia hopwoodii,leaf_length,minimum,20,mm,good,,847,Duboisia hopwoodii,20,"leaves slightly fleshy, sessile to subsessile (rarely with the petiole up to 10 mm long), narrowly ovate-elliptic to linear, 2-13 x 0.2-0.8, rarely to 1.3 cm.",erect shrub 1-3 m (rarely to 4 m) tall and up to 3 m diam.;,"Description: Erect shrub 1-3 m (rarely to 4 m) tall and up to 3 m diam.; leaves slightly fleshy, sessile to subsessile (rarely with the petiole up to 10 mm long), narrowly ovate-elliptic to linear, 2-13 x 0.2-0.8, rarely to 1.3 cm.Flowers in a narrow leafy panicle-like inflorescence; pedicel 1.5-5 mm long, glabrous, scarcely elongated in fruit; corolla 7-15.5 mm in total length, white with purple striations in the throat, pubescent outside with cottony branched hairs, glabrous inside; corolla lobes orbicular to broadly ovate, 2-5 x 2-5.5 mm.Berry more or less globose, rarely ellipsoid, 3-6 mm diam., purple-black; seeds brown, 2.1-2.6 mm long."
Duboisia hopwoodii,leaf_length,maximum,130,mm,good,,847,Duboisia hopwoodii,130,"leaves slightly fleshy, sessile to subsessile (rarely with the petiole up to 10 mm long), narrowly ovate-elliptic to linear, 2-13 x 0.2-0.8, rarely to 1.3 cm.",erect shrub 1-3 m (rarely to 4 m) tall and up to 3 m diam.;,"Description: Erect shrub 1-3 m (rarely to 4 m) tall and up to 3 m diam.; leaves slightly fleshy, sessile to subsessile (rarely with the petiole up to 10 mm long), narrowly ovate-elliptic to linear, 2-13 x 0.2-0.8, rarely to 1.3 cm.Flowers in a narrow leafy panicle-like inflorescence; pedicel 1.5-5 mm long, glabrous, scarcely elongated in fruit; corolla 7-15.5 mm in total length, white with purple striations in the throat, pubescent outside with cottony branched hairs, glabrous inside; corolla lobes orbicular to broadly ovate, 2-5 x 2-5.5 mm.Berry more or less globose, rarely ellipsoid, 3-6 mm diam., purple-black; seeds brown, 2.1-2.6 mm long."
Duboisia hopwoodii,leaf_width,minimum,2,mm,good,,847,Duboisia hopwoodii,2,"leaves slightly fleshy, sessile to subsessile (rarely with the petiole up to 10 mm long), narrowly ovate-elliptic to linear, 2-13 x 0.2-0.8, rarely to 1.3 cm.",erect shrub 1-3 m (rarely to 4 m) tall and up to 3 m diam.;,"Description: Erect shrub 1-3 m (rarely to 4 m) tall and up to 3 m diam.; leaves slightly fleshy, sessile to subsessile (rarely with the petiole up to 10 mm long), narrowly ovate-elliptic to linear, 2-13 x 0.2-0.8, rarely to 1.3 cm.Flowers in a narrow leafy panicle-like inflorescence; pedicel 1.5-5 mm long, glabrous, scarcely elongated in fruit; corolla 7-15.5 mm in total length, white with purple striations in the throat, pubescent outside with cottony branched hairs, glabrous inside; corolla lobes orbicular to broadly ovate, 2-5 x 2-5.5 mm.Berry more or less globose, rarely ellipsoid, 3-6 mm diam., purple-black; seeds brown, 2.1-2.6 mm long."
Duboisia hopwoodii,leaf_width,maximum,8,mm,changed,,847,Duboisia hopwoodii,13,"leaves slightly fleshy, sessile to subsessile (rarely with the petiole up to 10 mm long), narrowly ovate-elliptic to linear, 2-13 x 0.2-0.8, rarely to 1.3 cm.",erect shrub 1-3 m (rarely to 4 m) tall and up to 3 m diam.;,"Description: Erect shrub 1-3 m (rarely to 4 m) tall and up to 3 m diam.; leaves slightly fleshy, sessile to subsessile (rarely with the petiole up to 10 mm long), narrowly ovate-elliptic to linear, 2-13 x 0.2-0.8, rarely to 1.3 cm.Flowers in a narrow leafy panicle-like inflorescence; pedicel 1.5-5 mm long, glabrous, scarcely elongated in fruit; corolla 7-15.5 mm in total length, white with purple striations in the throat, pubescent outside with cottony branched hairs, glabrous inside; corolla lobes orbicular to broadly ovate, 2-5 x 2-5.5 mm.Berry more or less globose, rarely ellipsoid, 3-6 mm diam., purple-black; seeds brown, 2.1-2.6 mm long."
Duboisia hopwoodii,plant_height,maximum,3,m,changed,,847,Duboisia hopwoodii,4,"leaves slightly fleshy, sessile to subsessile (rarely with the petiole up to 10 mm long), narrowly ovate-elliptic to linear, 2-13 x 0.2-0.8, rarely to 1.3 cm.",erect shrub 1-3 m (rarely to 4 m) tall and up to 3 m diam.;,"Description: Erect shrub 1-3 m (rarely to 4 m) tall and up to 3 m diam.; leaves slightly fleshy, sessile to subsessile (rarely with the petiole up to 10 mm long), narrowly ovate-elliptic to linear, 2-13 x 0.2-0.8, rarely to 1.3 cm.Flowers in a narrow leafy panicle-like inflorescence; pedicel 1.5-5 mm long, glabrous, scarcely elongated in fruit; corolla 7-15.5 mm in total length, white with purple striations in the throat, pubescent outside with cottony branched hairs, glabrous inside; corolla lobes orbicular to broadly ovate, 2-5 x 2-5.5 mm.Berry more or less globose, rarely ellipsoid, 3-6 mm diam., purple-black; seeds brown, 2.1-2.6 mm long."
Echinopogon ovatus,plant_height,maximum,0.7,m,good,,857,Echinopogon ovatus,0.7,"leaf blades flat, scabrous, to 16 cm long.","erect annual, with slender scabrous stems 15-70 cm tall;","Description: Erect annual, with slender scabrous stems 15-70 cm tall; leaf blades flat, scabrous, to 16 cm long.Panicle ovoid, or oblong, 2-4 cm long; spikelets 3.5-5 mm long; glumes c. 4 mm long, ciliate on the keel; awns 3-15 mm long."
Echium plantagineum,leaf_length,minimum,40,mm,good,,858,Echium plantagineum,40,"leaves more or less densely clustered, petiolate, and with oblanceolate to obovate lamina with a cuneate base at the base becoming scattered, sessile and with oblong-lanceolate lamina with cordate to auriculate base on or below the inflorescence, 4-20 x 0.8-7 cm, covered with more or less spreading fine hairs usually with a somewhat broadened base and often with some short hairs along the margin.","annuals rarely biennials to 80 cm high, with one to several erect stems terminating in an inflorescence, with usually a loosely arranged basal rosette, more or less densely covered with fine spreading hairs usually with a broad base and rarely with very short hairs except on the inflorescence;","Description: Annuals rarely biennials to 80 cm high, with one to several erect stems terminating in an inflorescence, with usually a loosely arranged basal rosette, more or less densely covered with fine spreading hairs usually with a broad base and rarely with very short hairs except on the inflorescence; leaves more or less densely clustered, petiolate, and with oblanceolate to obovate lamina with a cuneate base at the base becoming scattered, sessile and with oblong-lanceolate lamina with cordate to auriculate base on or below the inflorescence, 4-20 x 0.8-7 cm, covered with more or less spreading fine hairs usually with a somewhat broadened base and often with some short hairs along the margin.Inflorescence conical to somewhat loosely branched with a few to many spreading unbranched monochasia with sessile flowers arranged in 2 rows; sepals little connate at the base, linear-lanceolate, 8-11 mm long or to 15 mm in fruit, with fine spreading hairs; corolla broadly funnel-shaped, somewhat irregular, purplish-blue, 18-30 mm long, with scattered hairs outside, with a row of 5 nectary scales around the ovary; lobes broadly oblong to transversely oblong, 2-6 mm long, rounded; stamens with filaments inserted near the throat in front but deeper in the throat at the back, with free part longer and with scattered hairs; anthers narrowly ellipsoid, c. 2 mm long, without an appendage; ovary 4-lobed, with a style inserted at about the middle to 35 mm long, hairy and with a 2-fid stigma.Mericarps with a short ridged beak parallel with the style and bulging pointed shoulders on either side, roughly rugose with pointed tubercles, a pale greyish-brown."
Echium plantagineum,leaf_length,maximum,200,mm,good,,858,Echium plantagineum,200,"leaves more or less densely clustered, petiolate, and with oblanceolate to obovate lamina with a cuneate base at the base becoming scattered, sessile and with oblong-lanceolate lamina with cordate to auriculate base on or below the inflorescence, 4-20 x 0.8-7 cm, covered with more or less spreading fine hairs usually with a somewhat broadened base and often with some short hairs along the margin.","annuals rarely biennials to 80 cm high, with one to several erect stems terminating in an inflorescence, with usually a loosely arranged basal rosette, more or less densely covered with fine spreading hairs usually with a broad base and rarely with very short hairs except on the inflorescence;","Description: Annuals rarely biennials to 80 cm high, with one to several erect stems terminating in an inflorescence, with usually a loosely arranged basal rosette, more or less densely covered with fine spreading hairs usually with a broad base and rarely with very short hairs except on the inflorescence; leaves more or less densely clustered, petiolate, and with oblanceolate to obovate lamina with a cuneate base at the base becoming scattered, sessile and with oblong-lanceolate lamina with cordate to auriculate base on or below the inflorescence, 4-20 x 0.8-7 cm, covered with more or less spreading fine hairs usually with a somewhat broadened base and often with some short hairs along the margin.Inflorescence conical to somewhat loosely branched with a few to many spreading unbranched monochasia with sessile flowers arranged in 2 rows; sepals little connate at the base, linear-lanceolate, 8-11 mm long or to 15 mm in fruit, with fine spreading hairs; corolla broadly funnel-shaped, somewhat irregular, purplish-blue, 18-30 mm long, with scattered hairs outside, with a row of 5 nectary scales around the ovary; lobes broadly oblong to transversely oblong, 2-6 mm long, rounded; stamens with filaments inserted near the throat in front but deeper in the throat at the back, with free part longer and with scattered hairs; anthers narrowly ellipsoid, c. 2 mm long, without an appendage; ovary 4-lobed, with a style inserted at about the middle to 35 mm long, hairy and with a 2-fid stigma.Mericarps with a short ridged beak parallel with the style and bulging pointed shoulders on either side, roughly rugose with pointed tubercles, a pale greyish-brown."
Echium plantagineum,leaf_width,minimum,8,mm,good,,858,Echium plantagineum,8,"leaves more or less densely clustered, petiolate, and with oblanceolate to obovate lamina with a cuneate base at the base becoming scattered, sessile and with oblong-lanceolate lamina with cordate to auriculate base on or below the inflorescence, 4-20 x 0.8-7 cm, covered with more or less spreading fine hairs usually with a somewhat broadened base and often with some short hairs along the margin.","annuals rarely biennials to 80 cm high, with one to several erect stems terminating in an inflorescence, with usually a loosely arranged basal rosette, more or less densely covered with fine spreading hairs usually with a broad base and rarely with very short hairs except on the inflorescence;","Description: Annuals rarely biennials to 80 cm high, with one to several erect stems terminating in an inflorescence, with usually a loosely arranged basal rosette, more or less densely covered with fine spreading hairs usually with a broad base and rarely with very short hairs except on the inflorescence; leaves more or less densely clustered, petiolate, and with oblanceolate to obovate lamina with a cuneate base at the base becoming scattered, sessile and with oblong-lanceolate lamina with cordate to auriculate base on or below the inflorescence, 4-20 x 0.8-7 cm, covered with more or less spreading fine hairs usually with a somewhat broadened base and often with some short hairs along the margin.Inflorescence conical to somewhat loosely branched with a few to many spreading unbranched monochasia with sessile flowers arranged in 2 rows; sepals little connate at the base, linear-lanceolate, 8-11 mm long or to 15 mm in fruit, with fine spreading hairs; corolla broadly funnel-shaped, somewhat irregular, purplish-blue, 18-30 mm long, with scattered hairs outside, with a row of 5 nectary scales around the ovary; lobes broadly oblong to transversely oblong, 2-6 mm long, rounded; stamens with filaments inserted near the throat in front but deeper in the throat at the back, with free part longer and with scattered hairs; anthers narrowly ellipsoid, c. 2 mm long, without an appendage; ovary 4-lobed, with a style inserted at about the middle to 35 mm long, hairy and with a 2-fid stigma.Mericarps with a short ridged beak parallel with the style and bulging pointed shoulders on either side, roughly rugose with pointed tubercles, a pale greyish-brown."
Echium plantagineum,leaf_width,maximum,70,mm,good,,858,Echium plantagineum,70,"leaves more or less densely clustered, petiolate, and with oblanceolate to obovate lamina with a cuneate base at the base becoming scattered, sessile and with oblong-lanceolate lamina with cordate to auriculate base on or below the inflorescence, 4-20 x 0.8-7 cm, covered with more or less spreading fine hairs usually with a somewhat broadened base and often with some short hairs along the margin.","annuals rarely biennials to 80 cm high, with one to several erect stems terminating in an inflorescence, with usually a loosely arranged basal rosette, more or less densely covered with fine spreading hairs usually with a broad base and rarely with very short hairs except on the inflorescence;","Description: Annuals rarely biennials to 80 cm high, with one to several erect stems terminating in an inflorescence, with usually a loosely arranged basal rosette, more or less densely covered with fine spreading hairs usually with a broad base and rarely with very short hairs except on the inflorescence; leaves more or less densely clustered, petiolate, and with oblanceolate to obovate lamina with a cuneate base at the base becoming scattered, sessile and with oblong-lanceolate lamina with cordate to auriculate base on or below the inflorescence, 4-20 x 0.8-7 cm, covered with more or less spreading fine hairs usually with a somewhat broadened base and often with some short hairs along the margin.Inflorescence conical to somewhat loosely branched with a few to many spreading unbranched monochasia with sessile flowers arranged in 2 rows; sepals little connate at the base, linear-lanceolate, 8-11 mm long or to 15 mm in fruit, with fine spreading hairs; corolla broadly funnel-shaped, somewhat irregular, purplish-blue, 18-30 mm long, with scattered hairs outside, with a row of 5 nectary scales around the ovary; lobes broadly oblong to transversely oblong, 2-6 mm long, rounded; stamens with filaments inserted near the throat in front but deeper in the throat at the back, with free part longer and with scattered hairs; anthers narrowly ellipsoid, c. 2 mm long, without an appendage; ovary 4-lobed, with a style inserted at about the middle to 35 mm long, hairy and with a 2-fid stigma.Mericarps with a short ridged beak parallel with the style and bulging pointed shoulders on either side, roughly rugose with pointed tubercles, a pale greyish-brown."
Echium simplex,leaf_length,minimum,60,mm,good,,859,Echium simplex,60,"leaves densely clustered, subpetiolate to oblanceolate-spathulate at the base in the basal rosette becoming scattered, sessile and lanceolate with a broad base on the erect stem, 6-30 x 1.5-6 cm, densely covered with fine appressed hairs on both surfaces.","perennials or biennials to 1.5 m high, usually with one erect stem, most of which is a terminal inflorescence, with a dense basal rosette around a woody base, densely covered with silvery hairs appressed on the leaves and spreading on the stems;","Description: Perennials or biennials to 1.5 m high, usually with one erect stem, most of which is a terminal inflorescence, with a dense basal rosette around a woody base, densely covered with silvery hairs appressed on the leaves and spreading on the stems; leaves densely clustered, subpetiolate to oblanceolate-spathulate at the base in the basal rosette becoming scattered, sessile and lanceolate with a broad base on the erect stem, 6-30 x 1.5-6 cm, densely covered with fine appressed hairs on both surfaces.Inflorescence almost cylindrical with numerous monochasia each at least once dichotomously branched with sessile flowers arranged in 2 rows; sepals connate to about half their length, linear to lanceolate, 3-5 mm long and scarcely increasing in fruit, with short spreading hairs; corolla narrowly funnel-shaped, almost regular, cream or white, 9-11 mm long, shortly hairy outside, glabrous inside except for some around a ring of nectary scales at the level of the ovary; lobes broadly oblong, 4-5 mm long, rounded; stamens with filaments fused to the corolla tube to about the height of the apex of the calyx, with free filaments about twice as long; anthers narrowly ellipsoid, c. 1 mm long, without an appendage; ovary 4-lobed, with a style inserted at about the middle, 20-25 mm long, with scattered hairs and terminating in a 2-fid stigma.Mericarps with a short ridged beak parallel with the style and bulging shoulders on either side, scarcely rugose and with pointed tubercles, blackish-brown."
Echium simplex,leaf_length,maximum,300,mm,good,,859,Echium simplex,300,"leaves densely clustered, subpetiolate to oblanceolate-spathulate at the base in the basal rosette becoming scattered, sessile and lanceolate with a broad base on the erect stem, 6-30 x 1.5-6 cm, densely covered with fine appressed hairs on both surfaces.","perennials or biennials to 1.5 m high, usually with one erect stem, most of which is a terminal inflorescence, with a dense basal rosette around a woody base, densely covered with silvery hairs appressed on the leaves and spreading on the stems;","Description: Perennials or biennials to 1.5 m high, usually with one erect stem, most of which is a terminal inflorescence, with a dense basal rosette around a woody base, densely covered with silvery hairs appressed on the leaves and spreading on the stems; leaves densely clustered, subpetiolate to oblanceolate-spathulate at the base in the basal rosette becoming scattered, sessile and lanceolate with a broad base on the erect stem, 6-30 x 1.5-6 cm, densely covered with fine appressed hairs on both surfaces.Inflorescence almost cylindrical with numerous monochasia each at least once dichotomously branched with sessile flowers arranged in 2 rows; sepals connate to about half their length, linear to lanceolate, 3-5 mm long and scarcely increasing in fruit, with short spreading hairs; corolla narrowly funnel-shaped, almost regular, cream or white, 9-11 mm long, shortly hairy outside, glabrous inside except for some around a ring of nectary scales at the level of the ovary; lobes broadly oblong, 4-5 mm long, rounded; stamens with filaments fused to the corolla tube to about the height of the apex of the calyx, with free filaments about twice as long; anthers narrowly ellipsoid, c. 1 mm long, without an appendage; ovary 4-lobed, with a style inserted at about the middle, 20-25 mm long, with scattered hairs and terminating in a 2-fid stigma.Mericarps with a short ridged beak parallel with the style and bulging shoulders on either side, scarcely rugose and with pointed tubercles, blackish-brown."
Echium simplex,leaf_width,minimum,15,mm,good,,859,Echium simplex,15,"leaves densely clustered, subpetiolate to oblanceolate-spathulate at the base in the basal rosette becoming scattered, sessile and lanceolate with a broad base on the erect stem, 6-30 x 1.5-6 cm, densely covered with fine appressed hairs on both surfaces.","perennials or biennials to 1.5 m high, usually with one erect stem, most of which is a terminal inflorescence, with a dense basal rosette around a woody base, densely covered with silvery hairs appressed on the leaves and spreading on the stems;","Description: Perennials or biennials to 1.5 m high, usually with one erect stem, most of which is a terminal inflorescence, with a dense basal rosette around a woody base, densely covered with silvery hairs appressed on the leaves and spreading on the stems; leaves densely clustered, subpetiolate to oblanceolate-spathulate at the base in the basal rosette becoming scattered, sessile and lanceolate with a broad base on the erect stem, 6-30 x 1.5-6 cm, densely covered with fine appressed hairs on both surfaces.Inflorescence almost cylindrical with numerous monochasia each at least once dichotomously branched with sessile flowers arranged in 2 rows; sepals connate to about half their length, linear to lanceolate, 3-5 mm long and scarcely increasing in fruit, with short spreading hairs; corolla narrowly funnel-shaped, almost regular, cream or white, 9-11 mm long, shortly hairy outside, glabrous inside except for some around a ring of nectary scales at the level of the ovary; lobes broadly oblong, 4-5 mm long, rounded; stamens with filaments fused to the corolla tube to about the height of the apex of the calyx, with free filaments about twice as long; anthers narrowly ellipsoid, c. 1 mm long, without an appendage; ovary 4-lobed, with a style inserted at about the middle, 20-25 mm long, with scattered hairs and terminating in a 2-fid stigma.Mericarps with a short ridged beak parallel with the style and bulging shoulders on either side, scarcely rugose and with pointed tubercles, blackish-brown."
Echium simplex,leaf_width,maximum,60,mm,good,,859,Echium simplex,60,"leaves densely clustered, subpetiolate to oblanceolate-spathulate at the base in the basal rosette becoming scattered, sessile and lanceolate with a broad base on the erect stem, 6-30 x 1.5-6 cm, densely covered with fine appressed hairs on both surfaces.","perennials or biennials to 1.5 m high, usually with one erect stem, most of which is a terminal inflorescence, with a dense basal rosette around a woody base, densely covered with silvery hairs appressed on the leaves and spreading on the stems;","Description: Perennials or biennials to 1.5 m high, usually with one erect stem, most of which is a terminal inflorescence, with a dense basal rosette around a woody base, densely covered with silvery hairs appressed on the leaves and spreading on the stems; leaves densely clustered, subpetiolate to oblanceolate-spathulate at the base in the basal rosette becoming scattered, sessile and lanceolate with a broad base on the erect stem, 6-30 x 1.5-6 cm, densely covered with fine appressed hairs on both surfaces.Inflorescence almost cylindrical with numerous monochasia each at least once dichotomously branched with sessile flowers arranged in 2 rows; sepals connate to about half their length, linear to lanceolate, 3-5 mm long and scarcely increasing in fruit, with short spreading hairs; corolla narrowly funnel-shaped, almost regular, cream or white, 9-11 mm long, shortly hairy outside, glabrous inside except for some around a ring of nectary scales at the level of the ovary; lobes broadly oblong, 4-5 mm long, rounded; stamens with filaments fused to the corolla tube to about the height of the apex of the calyx, with free filaments about twice as long; anthers narrowly ellipsoid, c. 1 mm long, without an appendage; ovary 4-lobed, with a style inserted at about the middle, 20-25 mm long, with scattered hairs and terminating in a 2-fid stigma.Mericarps with a short ridged beak parallel with the style and bulging shoulders on either side, scarcely rugose and with pointed tubercles, blackish-brown."
Echium vulgare,leaf_length,minimum,50,mm,good,,860,Echium vulgare,50,"leaves more or less densely clustered, subpetiolate and with linear-oblanceolate lamina on the basal rosette becoming scattered, sessile and linear-lanceolate on the stems, 5-15 x 0.8-1.5 cm, densely covered with spreading short hairs as well as coarser longer ones with a broadened base but mainly restricted to the veins on the undersurface.","biennials to 80 cm high, with one to several stems terminating in an inflorescence, with a more or less dense basal rosette, densely covered with while spreading to more or less appressed long hairs usually with a broadened base as well as fine short hairs;","Description: Biennials to 80 cm high, with one to several stems terminating in an inflorescence, with a more or less dense basal rosette, densely covered with while spreading to more or less appressed long hairs usually with a broadened base as well as fine short hairs; leaves more or less densely clustered, subpetiolate and with linear-oblanceolate lamina on the basal rosette becoming scattered, sessile and linear-lanceolate on the stems, 5-15 x 0.8-1.5 cm, densely covered with spreading short hairs as well as coarser longer ones with a broadened base but mainly restricted to the veins on the undersurface.Inflorescence conical, with many short unbranched monochasia, with sessile flowers arranged in 2 rows; sepals scarcely connate basally, linear-lanceolate, 5-6 mm long or to 9 mm in fruit, with short spreading hairs; corolla broadly funnel-shaped, somewhat curved and zygomorphic, deep-blue, 12-15 mm long, with short and long hairs outside, glabrous inside except for some hairs around a ring of nectary scales at the level of the ovary; lobes transversely oblong to almost square, 2-3 mm long, rounded; stamens with filaments fused to different levels of the corolla tube at about the top of the calyx, with free filaments about twice as long except for a much shorter and included dorsal stamen; anthers narrowly ellipsoid, c. 1 mm long, without an appendage; ovary 4-lobed, with a style inserted at about the middle, c. 20 mm long, with scattered hairs and terminating in a 2-fid stigma.Mericarps with a short ridged beak parallel with the style and bulging angular shoulders on either side, rugose and with few scarcely pointed tubercles, pale-brown."
Echium vulgare,leaf_length,maximum,150,mm,good,,860,Echium vulgare,150,"leaves more or less densely clustered, subpetiolate and with linear-oblanceolate lamina on the basal rosette becoming scattered, sessile and linear-lanceolate on the stems, 5-15 x 0.8-1.5 cm, densely covered with spreading short hairs as well as coarser longer ones with a broadened base but mainly restricted to the veins on the undersurface.","biennials to 80 cm high, with one to several stems terminating in an inflorescence, with a more or less dense basal rosette, densely covered with while spreading to more or less appressed long hairs usually with a broadened base as well as fine short hairs;","Description: Biennials to 80 cm high, with one to several stems terminating in an inflorescence, with a more or less dense basal rosette, densely covered with while spreading to more or less appressed long hairs usually with a broadened base as well as fine short hairs; leaves more or less densely clustered, subpetiolate and with linear-oblanceolate lamina on the basal rosette becoming scattered, sessile and linear-lanceolate on the stems, 5-15 x 0.8-1.5 cm, densely covered with spreading short hairs as well as coarser longer ones with a broadened base but mainly restricted to the veins on the undersurface.Inflorescence conical, with many short unbranched monochasia, with sessile flowers arranged in 2 rows; sepals scarcely connate basally, linear-lanceolate, 5-6 mm long or to 9 mm in fruit, with short spreading hairs; corolla broadly funnel-shaped, somewhat curved and zygomorphic, deep-blue, 12-15 mm long, with short and long hairs outside, glabrous inside except for some hairs around a ring of nectary scales at the level of the ovary; lobes transversely oblong to almost square, 2-3 mm long, rounded; stamens with filaments fused to different levels of the corolla tube at about the top of the calyx, with free filaments about twice as long except for a much shorter and included dorsal stamen; anthers narrowly ellipsoid, c. 1 mm long, without an appendage; ovary 4-lobed, with a style inserted at about the middle, c. 20 mm long, with scattered hairs and terminating in a 2-fid stigma.Mericarps with a short ridged beak parallel with the style and bulging angular shoulders on either side, rugose and with few scarcely pointed tubercles, pale-brown."
Echium vulgare,leaf_width,minimum,8,mm,good,,860,Echium vulgare,8,"leaves more or less densely clustered, subpetiolate and with linear-oblanceolate lamina on the basal rosette becoming scattered, sessile and linear-lanceolate on the stems, 5-15 x 0.8-1.5 cm, densely covered with spreading short hairs as well as coarser longer ones with a broadened base but mainly restricted to the veins on the undersurface.","biennials to 80 cm high, with one to several stems terminating in an inflorescence, with a more or less dense basal rosette, densely covered with while spreading to more or less appressed long hairs usually with a broadened base as well as fine short hairs;","Description: Biennials to 80 cm high, with one to several stems terminating in an inflorescence, with a more or less dense basal rosette, densely covered with while spreading to more or less appressed long hairs usually with a broadened base as well as fine short hairs; leaves more or less densely clustered, subpetiolate and with linear-oblanceolate lamina on the basal rosette becoming scattered, sessile and linear-lanceolate on the stems, 5-15 x 0.8-1.5 cm, densely covered with spreading short hairs as well as coarser longer ones with a broadened base but mainly restricted to the veins on the undersurface.Inflorescence conical, with many short unbranched monochasia, with sessile flowers arranged in 2 rows; sepals scarcely connate basally, linear-lanceolate, 5-6 mm long or to 9 mm in fruit, with short spreading hairs; corolla broadly funnel-shaped, somewhat curved and zygomorphic, deep-blue, 12-15 mm long, with short and long hairs outside, glabrous inside except for some hairs around a ring of nectary scales at the level of the ovary; lobes transversely oblong to almost square, 2-3 mm long, rounded; stamens with filaments fused to different levels of the corolla tube at about the top of the calyx, with free filaments about twice as long except for a much shorter and included dorsal stamen; anthers narrowly ellipsoid, c. 1 mm long, without an appendage; ovary 4-lobed, with a style inserted at about the middle, c. 20 mm long, with scattered hairs and terminating in a 2-fid stigma.Mericarps with a short ridged beak parallel with the style and bulging angular shoulders on either side, rugose and with few scarcely pointed tubercles, pale-brown."
Echium vulgare,leaf_width,maximum,15,mm,good,,860,Echium vulgare,15,"leaves more or less densely clustered, subpetiolate and with linear-oblanceolate lamina on the basal rosette becoming scattered, sessile and linear-lanceolate on the stems, 5-15 x 0.8-1.5 cm, densely covered with spreading short hairs as well as coarser longer ones with a broadened base but mainly restricted to the veins on the undersurface.","biennials to 80 cm high, with one to several stems terminating in an inflorescence, with a more or less dense basal rosette, densely covered with while spreading to more or less appressed long hairs usually with a broadened base as well as fine short hairs;","Description: Biennials to 80 cm high, with one to several stems terminating in an inflorescence, with a more or less dense basal rosette, densely covered with while spreading to more or less appressed long hairs usually with a broadened base as well as fine short hairs; leaves more or less densely clustered, subpetiolate and with linear-oblanceolate lamina on the basal rosette becoming scattered, sessile and linear-lanceolate on the stems, 5-15 x 0.8-1.5 cm, densely covered with spreading short hairs as well as coarser longer ones with a broadened base but mainly restricted to the veins on the undersurface.Inflorescence conical, with many short unbranched monochasia, with sessile flowers arranged in 2 rows; sepals scarcely connate basally, linear-lanceolate, 5-6 mm long or to 9 mm in fruit, with short spreading hairs; corolla broadly funnel-shaped, somewhat curved and zygomorphic, deep-blue, 12-15 mm long, with short and long hairs outside, glabrous inside except for some hairs around a ring of nectary scales at the level of the ovary; lobes transversely oblong to almost square, 2-3 mm long, rounded; stamens with filaments fused to different levels of the corolla tube at about the top of the calyx, with free filaments about twice as long except for a much shorter and included dorsal stamen; anthers narrowly ellipsoid, c. 1 mm long, without an appendage; ovary 4-lobed, with a style inserted at about the middle, c. 20 mm long, with scattered hairs and terminating in a 2-fid stigma.Mericarps with a short ridged beak parallel with the style and bulging angular shoulders on either side, rugose and with few scarcely pointed tubercles, pale-brown."
