Site,Family,Species,No.,Season,LMA g/m2,Leaf N concentration mg/g DW,Leaf N P ratio,Leaf P concentration mg/g DW,Leaf P concentration per leaf area mg/m2,Photosynthetic rate (leaf area basis) umol CO2/m2/s,Photosynthetic rate (dry mass basis) umol CO2/g DW/s,PPUE  umol CO2/g P/s,PNUE umol CO2/g N/s,Lipid P concentration mg/g DW,Nucleic acid P concentration mg/g DW,Residual P concentration mg/g DW,Pi concentration mg/g DW,Metabolite P concentration mg/g DW,Pre-dawn leaf waterpotential Mpa
WF,Myrtaceae,Melaleuca rhaphiophylla,SL70,Summer,204.6283206,12.80409575,33.49131195,0.382310964,78.23165045,8.181283276,39.98118762,104.5776643,3.122531135,0.06529894,0.107531432,0.020626489,0.044500789,0.099449279,-2
WF,Fabaceae,Acacia saligna,SL31,Summer,233.180829,15.47,32.07137861,0.482361553,112.4774669,19.1592948,82.16496561,170.3389606,5.311245353,0.079522943,0.188752396,0.064075931,0.097255191,0.017792727,-1.05
WF,Fabaceae,Acacia saligna,SL32,Summer,218.0856582,23.2,31.97116869,0.725653799,158.2546863,19.56811132,89.72672241,123.6494904,3.867531138,0.148239471,0.291951736,0.088533206,0.149279868,0.07161796,-1.3
WF,Fabaceae,Acacia saligna,SL33,Summer,200.1116597,18.84,35.95982083,0.523918072,104.8421149,22.15034569,110.6899304,211.2733581,5.8752617,0.091036875,0.211656173,0.075082797,0.098280626,0.058146718,-1.2
WF,Fabaceae,Acacia saligna,SL34,Summer,194.4459811,23.56,28.75917328,0.819216873,159.2934286,21.88479848,112.5495027,137.3867,4.777143579,0.150747381,0.285454653,0.110519058,0.157140975,0.084575099,-1.4
WF,Fabaceae,Acacia saligna,SL35,Summer,201.4936869,23.37,29.6766629,0.787487464,158.6737525,19.81922771,98.36153192,124.905521,4.20888027,0.135765132,0.272096368,0.105969232,0.051091449,0.191783443,-1.1
WF,Fabaceae,Viminaria Juncea,SL36,Summer,184.9208737,14.2,72.89114006,0.194811056,36.02463076,3.251435327,17.58284645,90.25589601,1.238228623,0.037778832,0.105008351,0.030747918,0.045799177,0.033705434,-2
WF,Fabaceae,Viminaria Juncea,SL37,Summer,167.4495477,15.58,66.768653,0.233343033,39.07318533,4.505087737,26.90414993,115.2987067,1.726838892,0.039821002,0.122101158,0.040025191,0.03182123,0.051605894,-2
WF,Fabaceae,Viminaria Juncea,SL38,Summer,211.2584432,13.83,58.29788538,0.237229874,50.11681385,3.112568047,14.73346107,62.10626352,1.06532618,0.046657263,0.09108766,0.032438089,0.033249015,0.060205741,
WF,Fabaceae,Viminaria Juncea,SL39,Summer,184.3554242,14.71,57.72897477,0.254811385,46.97586092,4.471714366,24.2559414,95.19174911,1.648942312,0.043213702,0.111063808,0.037691166,0.104857475,0.004222375,-2.1
WF,Fabaceae,Viminaria Juncea,SL40,Summer,202.2234493,17.33,44.45072798,0.38986988,78.84083198,5.899855278,29.17493148,74.83248373,1.683492872,0.052055208,0.147111951,0.042804943,0.061270719,0.06568635,-1.55
WF,Fabaceae,Jacksonia furcellata,SL61,Summer,158.5778075,12.53,37.56170343,0.333584445,52.89908994,4.149386658,26.16625065,78.43966057,2.088288161,0.062578464,0.095493374,0.032577559,0.07368854,0.027452609,-2.4
WF,Fabaceae,Jacksonia furcellata,SL62,Summer,136.8721733,16.86,30.36206857,0.555298133,76.00486234,6.866579281,50.16782532,90.34394734,2.975553103,0.096105279,0.165261941,0.05925571,0.059227157,0.103978344,-2.6
WF,Fabaceae,Jacksonia furcellata,SL63,Summer,157.8276441,16.36,33.22657041,0.492377028,77.71070638,6.379963249,40.42361073,82.0988966,2.470880852,0.079112542,0.147492588,0.05109584,0.087245228,0.045669596,
WF,Fabaceae,Jacksonia furcellata,SL64,Summer,175.6697409,14.48,27.73167124,0.522146678,91.72537157,10.50297073,59.78816091,114.5045319,4.129016637,0.073526838,0.164324055,0.04504071,0.09070276,0.052574777,-2
WF,Fabaceae,Jacksonia furcellata,SL65,Summer,188.9287739,16.76,31.59064215,0.530536857,100.2336779,10.87506919,57.5617412,108.497158,3.434471432,0.075651946,0.163159352,0.052481866,0.131139355,0.030685828,-2.1
WF,Proteaceae,Grevillea thelemanniana,SL1,Winter,281.4725597,10,23.0570741,0.4337,122.0764432,11.18044719,39.72126875,89.95484001,3.972126875,0.102185199,0.136051536,0.036208767,0.129420103,0.01560817,-0.3
WF,Proteaceae,Grevillea thelemanniana,SL2,Winter,217.6692645,9.750571251,21.46445112,0.4543,98.87975522,17.30673831,79.50933428,180.0609515,8.154325755,0.112197549,0.131782459,0.025238598,0.100868166,0.047583208,-0.1
WF,Proteaceae,Grevillea thelemanniana,SL3,Winter,306.4076625,10.18119097,22.71630125,0.4482,137.3284714,14.93299189,48.73569989,110.3693871,4.78683683,0.116148318,0.13166886,0.027062994,0.144695599,-0.001136909,0
WF,Proteaceae,Grevillea thelemanniana,SL4,Winter,240.1879273,10.58910728,24.61920978,0.4301,103.3085851,14.42225477,60.0457106,135.9826224,5.670516791,0.111161555,0.122678831,0.031730519,0.072323566,0.063883465,0
WF,Proteaceae,Grevillea thelemanniana,SL5,Winter,279.5075467,,,,,13.71791981,49.07888883,,,,,,,,-0.1
WF,Proteaceae,Banksia telmatiaea,SL6,Winter,274.4492408,9.10779357,30.54775201,0.2981,81.82687322,13.25601247,48.30041588,149.2923845,5.303196159,0.0587707,0.114435682,0.022755616,0.113694184,0.012375171,0
WF,Proteaceae,Banksia telmatiaea,SL7,Winter,274.9359689,10.79998493,33.24299868,0.3249,89.3211936,11.54004639,41.9735782,129.7366796,3.886447849,0.069512393,0.114135718,0.034410554,0.054044372,0.062147066,-0.2
WF,Proteaceae,Banksia telmatiaea,SL8,Winter,261.6364941,9.142252803,27.75186695,0.3294,86.19048857,16.61672124,63.51071666,196.3061013,6.946943826,0.057919209,0.116064357,0.028920549,0.082490232,0.033229228,0
WF,Proteaceae,Banksia telmatiaea,SL9,Winter,295.8858672,8.976780772,26.27407386,0.3417,101.092148,22.40819036,75.73254706,234.0827161,8.436492878,0.073685413,0.104646196,0.029232621,0.108867938,0.004963863,0
WF,Proteaceae,Banksia telmatiaea,SL10,Winter,280.1377727,,,,,13.18339915,47.06041254,,,,,,,,-0.1
WF,Proteaceae,Hakea ceratophylla,SL11,Winter,491.6190144,4.52,22.45251192,0.201313778,98.96968112,2.578025099,5.243949123,26.048635,1.160165735,0.036600313,0.075601107,0.004306604,0.044746366,0.038498252,-0.3
WF,Proteaceae,Hakea ceratophylla,SL12,Winter,407.2688639,5.83,25.36264771,0.229865591,93.61709798,13.70625024,33.65405866,146.407553,5.772565808,0.038462699,0.073883984,0.003821006,0.030805001,0.054179305,0
WF,Proteaceae,Hakea ceratophylla,SL13,Winter,387.2976417,5.66,25.99675962,0.217719442,84.32222645,15.50862675,40.04317373,183.9209827,7.074765677,0.033367519,0.066764491,0.002962204,0.052199354,0.029639366,-0.5
WF,Proteaceae,Hakea ceratophylla,SL14,Winter,415.3165077,5.71,20.58053278,0.277446656,115.2281762,19.92944689,47.98616603,172.9563683,8.403881966,0.042586736,0.07798211,0.002441444,0.044337183,0.06741317,-0.1
WF,Proteaceae,Hakea ceratophylla,SL15,Winter,448.2010199,4.7,24.86935023,0.188987648,84.70445644,11.21088992,25.01308435,132.3530117,5.32193284,0.031050916,0.059940017,0.00342945,0.064671394,0.013347521,-0.5
WF,Myrtaceae,Beaufortia squarrosa,SL16,Winter,138.1709418,9.81,42.28102396,0.232018979,32.05828082,5.000504913,36.19071308,155.9816929,3.689165452,0.01541911,0.080319847,0.018396978,0.042757974,0.031815683,-0.1
WF,Myrtaceae,Beaufortia squarrosa,SL17,Winter,172.8931567,8.86,41.90236496,0.211443913,36.55720554,9.043856025,52.30892996,247.3891505,5.903942434,0.018543841,0.088799376,0.016445294,0.04314707,0.031038225,-0.1
WF,Myrtaceae,Beaufortia squarrosa,SL18,Winter,146.1812044,8.65,34.50130108,0.250715183,36.64984736,6.757908064,46.22966469,184.3911653,5.344469907,0.023925264,0.084237906,0.018148477,0.046834535,0.050218603,-0.2
WF,Myrtaceae,Beaufortia squarrosa,SL19,Winter,155.9724449,6.59,23.27444051,0.283143219,44.16254007,2.447350238,15.69091413,55.41688125,2.381018835,0.034866502,0.088144943,0.01884645,0.076386382,0.040400379,-0.2
WF,Myrtaceae,Beaufortia squarrosa,SL20,Winter,145.2485192,9.07,35.89656924,0.252670386,36.69999938,6.662350784,45.86863137,181.5354468,5.057180967,0.02402121,0.080652554,0.01588488,0.042811183,0.065072695,0
WF,Myrtaceae,Calothamnus hirsutus,SL21,Winter,199.96872,6.65,36.89620768,0.180235325,36.04142733,11.56713594,57.8447266,320.9400069,8.698455128,0.023541568,0.054032197,0.008728248,0.019496709,0.061701325,-0.8
WF,Myrtaceae,Calothamnus hirsutus,SL22,Winter,211.2550587,5.8,48.96558985,0.118450529,25.02327337,7.859888062,37.20567977,314.103113,6.414772373,0.01264239,0.038570427,0.010723324,0.039205947,0.027494327,-0.4
WF,Myrtaceae,Calothamnus hirsutus,SL23,Winter,222.3134888,6.68,47.14752688,0.141682935,31.49802765,7.537896593,33.90660924,239.313289,5.075839706,0.015780095,0.048167645,0.006693281,0.031134473,0.036185186,-0.1
WF,Myrtaceae,Calothamnus hirsutus,SL24,Winter,212.3905027,6.54,43.18631409,0.151436865,32.1637518,7.089810094,33.38101283,220.4285787,5.104130402,0.018194465,0.044860279,0.007451907,0.036543708,0.037951257,-0.3
WF,Myrtaceae,Calothamnus hirsutus,SL25,Winter,219.6008905,6.89,42.75113298,0.161165319,35.39204765,4.918279811,22.39644748,138.9656756,3.250572929,0.019173217,0.045741363,0.004701798,0.076592602,0.0025272,-0.2
WF,Myrtaceae,Melaleuca rhaphiophylla,SL66,Winter,151.653748,15.25275588,21.93303429,0.695423883,105.4636384,10.26277893,67.67243845,97.31106463,4.43673517,0.127528302,0.189074535,0.030015218,0.181754428,0.192794086,-0.31
WF,Myrtaceae,Melaleuca rhaphiophylla,SL67,Winter,200.6515273,15,16.98185922,0.88329551,177.2345932,11.6678077,58.14960822,65.83256403,3.876640548,0.110212413,0.178124328,0.036949512,0.360368234,0.227911094,-0.25
WF,Myrtaceae,Melaleuca rhaphiophylla,SL68,Winter,197.1567915,15.39780855,22.14781654,0.69522919,137.0691565,15.42498026,78.23712358,112.5342904,5.081055744,0.115778201,0.165926393,0.035569791,0.179829483,0.175684321,-0.23
WF,Myrtaceae,Melaleuca rhaphiophylla,SL69,Winter,180.3649738,13.21042418,18.17163029,0.726980682,131.1218517,12.32799727,68.35028449,94.01939578,5.173965918,0.12201081,0.152625302,0.024837711,0.214445446,0.148731132,-0.18
WF,Myrtaceae,Melaleuca rhaphiophylla,SL70,Winter,245.1166199,14.14189816,32.65102135,0.433122689,106.1655695,10.10483461,41.22459999,95.17995955,2.915068369,0.058417856,0.134927571,0.019394895,0.067310085,0.087337967,-0.23
WF,Fabaceae,Acacia saligna,SL31,Winter,159.8765092,17.33,32.27715321,0.536912282,85.83966145,11.26084816,70.43466372,131.1846758,4.064319891,0.087773025,0.145213849,0.047759792,0.135838562,0.034978489,-0.15
WF,Fabaceae,Acacia saligna,SL32,Winter,246.7729689,22.42,22.5902781,0.992462328,244.9128752,8.892658758,36.03578949,36.30947842,1.607305508,0.173478158,0.295879157,0.068028874,0.212614694,0.111515788,-0.12
WF,Fabaceae,Acacia saligna,SL33,Winter,157.2695087,22.52,21.37968176,1.053336539,165.6577201,12.34187989,78.47598678,74.50229234,3.484724102,0.149952807,0.347955846,0.092673393,0.252344439,0.063427869,-0.11
WF,Fabaceae,Acacia saligna,SL34,Winter,209.0891317,22.73,34.6384521,0.656207152,137.2057836,11.41903233,54.61322753,83.22559023,2.402693688,0.119893284,0.23402847,0.064055026,0.176348621,0.065548908,-0.19
WF,Fabaceae,Acacia saligna,SL35,Winter,161.8833075,19.42,34.58297387,0.561548005,90.90524844,13.40464331,82.80435779,147.4573091,4.263870123,0.117732797,0.222697481,0.058136082,0.142502588,0.05989744,-0.09
WF,Fabaceae,Viminaria Juncea,SL36,Winter,208.3063307,17.68,47.33934797,0.37347367,77.7969297,3.128140125,15.017019,40.20904343,0.849378903,0.047400987,0.143564285,0.027163416,0.088492864,0.083415008,-0.25
WF,Fabaceae,Viminaria Juncea,SL37,Winter,190.2266091,18.03,53.59030307,0.336441464,64.00011878,7.198138087,37.83980654,112.4706989,2.098713618,0.029628321,0.124272612,0.024969942,0.038655345,0.09064191,-0.11
WF,Fabaceae,Viminaria Juncea,SL38,Winter,209.1825788,14.11,41.38366796,0.340955761,71.32200535,5.792652859,27.69185126,81.21831165,1.962569189,0.047195354,0.113606953,0.023229453,0.046690366,0.099239031,-0.05
WF,Fabaceae,Viminaria Juncea,SL39,Winter,178.5073024,18.19,41.4541135,0.438798432,78.32872438,5.69798938,31.92020328,72.74457008,1.754821511,0.042597979,0.114011882,0.021660157,0.144759555,0.041748266,-0.13
WF,Fabaceae,Viminaria Juncea,SL40,Winter,158.6161989,23.41,53.74936975,0.435539991,69.08369779,6.471803217,40.80165369,93.68061387,1.742915579,0.071740856,0.157968637,0.032656458,0.156018048,0.053153879,-0.15
WF,Fabaceae,Jacksonia furcellata,SL61,Winter,184.9772082,16.65,34.20495403,0.486771594,90.04165048,11.21501385,60.62916597,124.5536237,3.641391349,0.091117841,0.144910634,0.039990427,0.106894213,0.130724512,-0.53
WF,Fabaceae,Jacksonia furcellata,SL62,Winter,141.548541,21.9,40.8335419,0.536323791,75.91585017,11.01087761,77.78870432,145.0405624,3.551995631,0.082648405,0.220248268,0.072644946,0.202688746,0.022452773,-0.48
WF,Fabaceae,Jacksonia furcellata,SL63,Winter,172.6234846,18.11,32.34357053,0.559925812,96.65634485,8.186641021,47.42483932,84.69843375,2.618710067,0.104379452,0.192895042,0.062413051,0.164624182,0.078436367,-0.4
WF,Fabaceae,Jacksonia furcellata,SL64,Winter,199.0811639,15.55,32.02945665,0.485490596,96.65203289,12.59576451,63.26949403,130.3207406,4.068777751,0.077977671,0.154741129,0.049911813,0.142488235,0.073585212,-0.52
WF,Fabaceae,Jacksonia furcellata,SL65,Winter,225.4213843,19.09070611,30.63250004,0.62321737,140.4865223,18.44878263,81.84131549,131.3206586,4.28697163,0.083331744,0.200229942,0.046135914,0.148164149,0.063303656,-0.68
