taxon_name,growth_form_icons,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type
Castanospora alphandii,tree,,,,,,,
Castilla elastica,tree,tree,,,,,,
Casuarina cristata,tree,tree,,,,,,
Casuarina cunninghamiana,tree,tree,,,,,,
Casuarina equisetifolia,tree,,,,,,,
Catalepidia heyana,shrub tree,,,,,,,
Catharanthus roseus,shrub,,,,,,,
Cathormion umbellatum subsp. moniliforme,shrub tree,tree,,,,,,
Causonis clematidea,climber_vine_herbaceous,climber_vine,,,,,,
Causonis japonica,climber_vine,climber_vine,,,,,,
Causonis maritima,climber_vine,climber_vine,,,,,,
Causonis trifolia,climber_vine,climber_vine,,,,,,
Cayratia cardiophylla,climber_vine,climber_vine,,,,,,
Cayratia saponaria,climber_vine,climber_vine,,,,,,
Cecarria obtusifolia,,shrub,,stem_parasitic,,,,
Cecropia peltata,tree,tree,,,,,,
Celastrus subspicatus,shrub climber_vine,tree climber_vine,,,,,,
Celtis hildebrandii,tree,,,,,,,
Celtis paniculata,tree,,,,,,,
Celtis philippensis,shrub tree,tree,,,,,,
Celtis strychnoides,shrub tree,tree,,,,,,
Celtis timorensis,tree,,,,,,,
Cenchrus brevisetosus,,,,,perennial,,,
Cenchrus echinatus,,,tufted erect decumbent,,annual,,,
Centella asiatica,herb,,,,,,,
Centotheca lappacea,,,stoloniferous,,,stolon,,
Centotheca philippinensis,,,tufted erect,,,,,
Centratherum punctatum subsp. punctatum,herb,,erect,,,,,
Centrosema molle,climber_vine_herbaceous,climber_vine,,,,,,
Cephalaralia cephalobotrys,climber_vine_herbaceous,climber_vine,,,,,,
Ceratopetalum corymbosum,tree,tree,,,,,,
Ceratopetalum hylandii,tree,,,,,,,
Ceratopetalum iugumensis,tree,,,,,,,
Ceratopetalum macrophyllum,tree,,,,,,,
Ceratopetalum succirubrum,tree,,,,,,,
Ceratopetalum virchowii,tree,,,,,,,
Cerbera floribunda,tree,,,,,,,
Cerbera inflata,tree,,,,,,,
Cerbera manghas,shrub tree,,,,,,,
Ceropegia cumingiana,climber_vine_herbaceous,climber_vine,,,,,,
Cestrum nocturnum,shrub,,,,,,,
Cheilocostus potierae,herb shrub,,,,,,,
Chionanthus acuminiger,shrub tree,tree,,,,,,
Chionanthus axillaris,tree,tree,,,,,,
Chionanthus ramiflorus,shrub tree,,,,,,,
Chionanthus sleumeri,shrub tree,tree,,,,,,
Chionanthus sp  little pine l a  b.hyland 2520rfk,tree,,,,,,,
Chisocheton longistipitatus,tree,,,,,,,
Choriceras majus,shrub tree,,,,,,,
Choriceras tricorne,shrub tree,,,,,,,
Chromolaena odorata,shrub climber_vine,shrub,scrambling,,,,,
Chukrasia tabularis,tree,,,,,,,
Cinnamomum baileyanum,tree,,,,,,,
Cinnamomum camphora,tree,,,,,,,
Cinnamomum laubatii,tree,,,,,,,
Cinnamomum oliveri,tree,,,,,,,
Cinnamomum propinquum,shrub tree,,,,,,,
Cirsium vulgare,herb shrub,,,,,,,
Cissampelos pareira var. hirsuta,climber_vine_herbaceous,climber_vine,,,,,,
Cissus adnata,climber_vine,climber_vine,,,,,,
Cissus antarctica,climber_vine,climber_vine,,,,,,
Cissus cardiophylla,climber_vine,climber_vine,,,,,,
Cissus hastata,climber_vine,climber_vine,,,,,,
Cissus hypoglauca,climber_vine,climber_vine,,,,,,
Cissus oblonga,climber_vine,climber_vine,,,,,,
Cissus penninervis,climber_vine,climber_vine,,,,,,
Cissus pentaclada,climber_vine,climber_vine,,,,,,
Cissus reniformis,climber_vine,climber_vine,,,,,,
Cissus repens,climber_vine,climber_vine,,,,,,
Cissus sterculiifolia,climber_vine,climber_vine,,,,,,
Cissus vinosa,climber_vine,climber_vine,,,,,,
Citronella moorei,tree,,,,,,,
Citronella smythii,tree,,,,,,,
Citrus garrawayi,shrub tree,,,,,,,
Citrus inodora,herb shrub,,,,,,,
Citrus reticulata,shrub,,,,,,,
Citrus x aurantium,shrub tree,tree,,,,,,
Citrus x jambhiri,shrub tree,tree,,,,,,
Claoxylon angustifolium,shrub,tree,,,,,,
Claoxylon hillii,shrub tree,tree,,,,,,
Claoxylon tenerifolium subsp. boreale,tree,,,,,,,
Claoxylon tenerifolium subsp. tenerifolium,shrub tree,tree shrub,,,,,,
Clausena brevistyla,shrub tree,,,,,,,
Clausena excavata,shrub tree,tree shrub,,,,,,
Cleidion javanicum,shrub tree,,,,,,,
Cleistanthus apodus,shrub tree,tree,,,,,,
Cleistanthus cunninghamii,shrub tree,tree shrub,,,,,,
Cleistanthus dallachyanus,shrub tree,tree shrub,,,,,,
Cleistanthus discolor,shrub tree,,,,,,,
Cleistanthus hylandii,shrub tree,,,,,,,
Cleistanthus myrianthus,shrub tree,,,,,,,
Cleistanthus peninsularis,shrub tree,,,,,,,
Cleistanthus semiopacus,shrub tree,tree,,,,,,
Cleistanthus xerophilus,shrub tree,tree,,,,,,
Clematicissus opaca,climber_vine_herbaceous,climber_vine,,,,,,
Clematis pickeringii,climber_vine,climber_vine,,,,,,
Cleome aculeata,herb,herb,erect,,annual,,,
Cleome viscosa,herb shrub,,,,,,,
Clerodendrum costatum,herb shrub tree,tree,,,,,,
Clerodendrum floribundum var. angustifolium,shrub tree,tree shrub,,,,,,
Clerodendrum floribundum var. coriaceum,shrub,,,,,,,
Clerodendrum floribundum var. floribundum,herb shrub tree,tree,,,,,,
Clerodendrum floribundum var. ovatum,herb shrub tree,tree,,,,,,
Clerodendrum grayi,shrub,tree,,,,,,
Clerodendrum inerme,herb shrub climber_vine,climber_vine,,,,,,
Clerodendrum longiflorum var. glabrum,shrub tree,,,,,,,
Clerodendrum paniculatum,shrub,,,,,,,
Clerodendrum tomentosum,shrub tree,,,,,,,
Clerodendrum tracyanum,shrub tree,,,,,,,
Clitoria ternatea,climber_vine_herbaceous,climber_vine,,,,,,
Cnesmocarpon dasyantha,tree,tree,,,,,,
Coatesia paniculata,shrub tree,tree shrub,,,,,,
Cochlospermum gillivraei,shrub tree,tree,,,,,,
Cocos nucifera,tree,palm,,,,,,
Codiaeum membranaceum,shrub tree,,,,,,,
Codiaeum variegatum var. moluccanum,herb shrub,,,,,,,
Codonocarpus attenuatus,shrub tree,,,,,,,
Coelospermum dasylobum,climber_vine,climber_vine,,,,,,
Coelospermum decipiens,shrub climber_vine,climber_vine,,,,,,
Coelospermum paniculatum var. paniculatum,climber_vine,climber_vine,,,,,,
Coelospermum paniculatum var. syncarpum,climber_vine,climber_vine,,,,,,
Coelospermum purpureum,shrub tree,,,,,,,
Coffea arabica,shrub tree,tree,,,,,,
Coffea brassii,herb shrub,,,,,,,
Coffea liberica,shrub tree,tree,,,,,,
Coleus amicorum,herb shrub,,,,,,,
Coleus apreptus,herb shrub,,,,,,,
Coleus australis,herb shrub,,,,,,,
Coleus congestus,herb shrub,,,,,,,
Coleus diversus,herb shrub,,,,,,,
Coleus dumicola,herb shrub,,,,,,,
Coleus excelsus,herb shrub,,,,,,,
Coleus foetidus,herb shrub,,,,,,,
Coleus gratus,herb shrub,,,,,,,
Coleus graveolens,herb shrub,,,,,,,
Coleus magnificus,herb shrub,,,,,,,
Coleus scutellarioides,herb shrub,,,,,,,
Coleus thalassoscopicus,herb,subshrub,,,,,,
Colocasia esculenta,herb shrub,herb,,,,,,
Colubrina asiatica,shrub climber_vine,climber_vine,,,,,,
Combretum trifoliatum,climber_vine,climber_vine,,,,,,
Commelina diffusa,herb,herb,sprawling,,,,,
Commelina ensifolia,herb,,prostrate,,,,,
Commersonia bartramia,shrub tree,,,,,,,
Commersonia macrostipulata,tree,,,,,,,
Commicarpus chinensis subsp. chinensis,herb shrub climber_vine_herbaceous,subshrub herb climber,scrambling,,,,,
Connarus conchocarpus subsp. conchocarpus,climber_vine,climber_vine,,,,,,
Corchorus aestuans,herb,herb,,,,,,
Cordia aspera,shrub tree,tree shrub,scrambling,,,,,
Cordia dichotoma,tree,,,,,,,
Cordia myxa,shrub tree,,,,,,,
Cordia subcordata,shrub tree,,,,,,,
Cordyline cannifolia,herb shrub,,,,,,,
Cordyline fruticosa,shrub,,,,,,,
Cordyline mannerssuttoniae,shrub,,,,,,,
Cordyline murchisoniae,herb shrub,,,,,,,
Cordyline petiolaris,shrub,shrub,sprawling,,,,,
Coronidium rupicola,herb shrub,,,,,,,
Corsia dispar,herb,,erect,,,,,
Corymbia intermedia,tree,,,,,,,
Corymbia tessellaris,tree,,,,,,,
Corymbia torelliana,tree,,,,,,,
Corymborkis veratrifolia,herb shrub,,,,,,,
Corynocarpus cribbianus,shrub tree,,,,,,,
Corypha utan,tree,,,,,,,
Cosmos caudatus,herb shrub,,,,,,,
Cossinia australiana,shrub tree,tree shrub,,,,,,
Costus dubius,herb shrub,herb,,,perennial,,,
Crassocephalum crepidioides,herb shrub,,,,,,,
Crateva religiosa,shrub tree,,,,,,,
Crinum pedunculatum,herb shrub,,,,,,,
Crispiloba disperma,shrub,,,,,,,
Crotalaria laburnifolia,herb shrub,,,,,,,
Crotalaria lanceolata,herb shrub,,,,,,,
Crotalaria pallida,herb shrub,,,,,,,
Crotalaria verrucosa,herb shrub,,,,,,,
Croton acronychioides,shrub,tree,,,,,,
Croton arnhemicus,shrub tree,,,,,,,
Croton brachypus,shrub,tree,,,,,,
Croton capitisyork,shrub,,,,,,,
Croton caudatus,climber_vine,climber_vine,,,,,,
Croton densivestitus,shrub,tree,,,,,,
Croton dockrillii,shrub,,,,,,,
Croton habrophyllus,shrub tree,,,,,,,
Croton insularis,shrub tree,,,,,,,
Croton mutabilis,shrub,tree,,,,,,
Croton phebalioides,shrub,tree,,,,,,
Croton simulans,shrub tree,,,,,,,
Croton stockeri,shrub,,,,,,,
Croton tomentellus,shrub tree,tree,,,,,,
Croton triacros,shrub tree,,,,,,,
Crudia abbreviata,tree,,dense,,,,,
Cryptocarya angulata,tree,,,,,,,
Cryptocarya bamagana,tree,,,,,,,
Cryptocarya bellendenkerana,shrub tree,,,,,,,
Cryptocarya bidwillii,tree,tree,,,,,,
Cryptocarya brassii,tree,,,,,,,
Cryptocarya burckiana,shrub tree,tree,,,,,,
Cryptocarya cercophylla,shrub tree,tree,,,,,,
Cryptocarya clarksoniana,tree,tree,,,,,,
Cryptocarya claudiana,tree,tree,,,,,,
Cryptocarya cocosoides,tree,,,,,,,
Cryptocarya corrugata,tree,,,,,,,
Cryptocarya cunninghamii,tree,,,,,,,
Cryptocarya densiflora,tree,,,,,,,
Cryptocarya endiandrifolia,tree,tree,,,,,,
Cryptocarya exfoliata,shrub tree,tree,,,,,,
Cryptocarya glaucescens,tree,tree,,,,,,
Cryptocarya glaucocarpa,tree,tree,,,,,,
Cryptocarya grandis,tree,,,,,,,
Cryptocarya hypospodia,tree,,,,,,,
Cryptocarya laevigata,shrub tree,,,,,,,
Cryptocarya leucophylla,tree,,,,,,,
Cryptocarya lividula,tree,,,,,,,
Cryptocarya macdonaldii,tree,tree,,,,,,
Cryptocarya mackinnoniana,tree,,,,,,,
Cryptocarya melanocarpa,tree,tree,,,,,,
Cryptocarya murrayi,tree,,,,,,,
Cryptocarya oblata,tree,,,,,,,
Cryptocarya onoprienkoana,tree,,,,,,,
Cryptocarya pleurosperma,tree,,,,,,,
Cryptocarya putida,tree,,,,,,,
Cryptocarya rhodosperma,tree,,,,,,,
Cryptocarya saccharata,tree,,,,,,,
Cryptocarya smaragdina,tree,tree,,,,,,
Cryptocarya triplinervis var. pubens,tree,tree,,,,,,
Cryptocarya triplinervis var. riparia,tree,,,,,,,
Cryptocarya vulgaris,shrub tree,,,,,,,
Cryptocarya whiffiniana,tree,,,,,,,
Cryptostegia grandiflora,shrub climber_vine,climber_vine,,,,,,
Cucumis althaeoides,herb climber_vine_herbaceous,herb,trailing,,perennial,,,
Cucumis anguria var. anguria,herb climber_vine_herbaceous,herb,trailing,,annual,,,
Cucumis costatus,herb climber_vine_herbaceous,,trailing,,annual perennial,,,
Cucumis melo,herb climber_vine_herbaceous,herb,trailing,,annual,,,
Cucumis queenslandicus,herb climber_vine_herbaceous,herb,trailing,,perennial,,,
Cucumis umbellatus,herb climber_vine_herbaceous,herb,trailing,,annual,,,
Cupaniopsis anacardioides,tree,tree,,,,,,
Cupaniopsis cooperorum,tree,tree,,,,,,
Cupaniopsis dallachyi,tree,,,,,,,
Cupaniopsis diploglottoides,shrub,tree,,,,,,
Cupaniopsis flagelliformis,shrub tree,,,,,,,
Cupaniopsis fleckeri,tree,tree,,,,,,
Cupaniopsis foveolata,tree,tree,,,,,,
Cupaniopsis papillosa,shrub tree,tree,,,,,,
Cupaniopsis simulata,tree,tree,,,,,,
Cupaniopsis wadsworthii,shrub,tree shrub,,,,,,
Curcuma australasica,herb,,,,,,,
Curcuma longa,herb shrub,,,,,,,
Cyanotis axillaris,herb,herb,erect,,annual,,,
Cyanthillium cinereum,herb shrub,,,,,,,
Cyanthillium patulum,herb,,erect,,annual,,,
Cyathula prostrata,herb,herb,prostrate erect,,,,,
Cycas media,shrub,,,,,,,
Cycas silvestris,shrub,,,,,,,
Cyclophyllum coprosmoides,shrub tree,tree shrub,,,,,,
Cyclophyllum costatum,shrub tree,,,,,,,
Cyclophyllum maritimum,shrub tree,tree shrub,,,,,,
Cyclophyllum multiflorum,shrub tree,tree,,,,,,
Cyclophyllum protractum,tree,tree,,,,,,
Cyclophyllum rostellatum,shrub tree,tree,,,,,,
Cyclophyllum schultzii,shrub tree,tree shrub,,,,,,
Cymbopogon ambiguus,,,caespitose,,perennial,,,
Cymbopogon procerus,,,caespitose,,perennial,,,
Cymbopogon refractus,,,tufted,,perennial,,,
Cynanchum bowmanii,climber_vine_herbaceous,climber_vine,,,,,,
Cynanchum carnosum,climber_vine_herbaceous,climber_vine,,,,,,
Cynanchum leptolepis,climber_vine_herbaceous,climber_vine,,,,,,
Cynanchum ovalifolium,climber_vine_herbaceous,climber_vine,,,,,,
Cynanchum pedunculatum,climber_vine_herbaceous,climber_vine,,,,,,
Cynanchum viminale subsp. brunonianum,climber_vine,climber_vine,,,,,,
Cynodon dactylon,,,stoloniferous mat_forming,,perennial,rhizome stolon,,
Cynoglossum australe,herb,herb,,,perennial,,,
Cynometra iripa,shrub tree,tree shrub,,,,,,
Cynometra ramiflora,shrub tree,tree,,,,,,
Cynometra roseiflora,shrub tree,tree,,,,,,
Cyperus aquatilis,,,tufted,,annual,,,
Cyperus brevifolius,,,,,perennial,rhizome,,
Cyperus bulbosus,,,,,perennial,rhizome,,
Cyperus decompositus,,,,,,,,
Cyperus dietrichiae,,,tufted,,perennial,,,
Cyperus enervis,,,tufted,,perennial,rhizome,,
Cyperus gracilis,,,tufted,,perennial,rhizome,,
Cyperus gunnii subsp. novaehollandiae,,,tufted,,,,,
Cyperus haspan subsp. juncoides,,,,,,rhizome,,
Cyperus hyalinus,,,,,annual,,,
Cyperus involucratus,,,,,perennial,rhizome,,
Cyperus javanicus,,,tufted,,perennial,rhizome,,
Cyperus laxus,,,,,,,,
Cyperus mirus,,,tufted,,perennial,rhizome,,
Cyperus multispiceus,,,,,perennial,,,
Cyperus paniceus,,,stoloniferous,,perennial,stolon,,
Cyperus pedunculosus,,,,,perennial,rhizome,,
Cyperus pilosus,,,,,short_lived_perennial annual,rhizome,,
Cyperus polystachyos,,,tufted,,perennial,,,
Cyperus sulcinux,,,,,annual,,,
Cyperus tetraphyllus,,,tufted,,perennial,rhizome,,
Cyperus triceps,,,tufted,,perennial,rhizome,,
Cyperus trinervis,,,tufted,,perennial,rhizome,,
Cyperus zollingeri,,,,,annual,,,
Cyrtandra baileyi,shrub,,,,,,,
Cyrtococcum accrescens,,,erect,,,,,
Cyrtococcum oxyphyllum,,,mat_forming,,annual,,,
Cyrtococcum patens,,,erect,,,,,
Dactyloctenium aegyptium,,,,,annual,,,
Dalbergia candenatensis,climber_vine,climber_vine,,,,,,
Dalbergia densa,shrub climber_vine,climber_vine,,,,,,
Dalbergia ferruginea,climber_vine,climber_vine,,,,,,
Dansiea elliptica,tree,,,,,,,
Daphnandra apatela,tree,tree,,,,,,
Daphnandra repandula,tree,,,,,,,
Darlingia darlingiana,tree,,,,,,,
Darlingia ferruginea,tree,,,,,,,
Davidsonia pruriens,shrub tree,,,,,,,
Debregeasia australis,herb shrub,,,,,,,
Decaisnina angustata,,shrub,,stem_parasitic,,,,
Decaisnina brittenii subsp. brittenii,,shrub,,stem_parasitic,,,,
Decaisnina congesta,,shrub,,stem_parasitic,,,,
Decaisnina hollrungii,,shrub,,stem_parasitic,,,,
Decaisnina signata,,shrub,,stem_parasitic,,,,
Decalobanthus peltatus,climber_vine,climber_vine,,,,,,
Decaspermum humile,shrub tree,,,,,,,
Deeringia amaranthoides,herb shrub climber_vine,tree climber_vine,,,,,,
Deeringia arborescens,climber_vine,tree climber_vine,,,,,,
Delarbrea michieana,shrub tree,tree,,,,,,
Delonix regia,tree,,,,,,,
Dendrocnide corallodesme,shrub tree,,,,,,,
Dendrocnide cordifolia,herb shrub,,,,,,,
Dendrocnide moroides,herb shrub,,,,,,,
Dendrocnide photinophylla,tree,,,,,,,
Dendrolobium arbuscula,shrub tree,tree,,,,,,
Dendrolobium umbellatum var. umbellatum,shrub,,,,,,,
Dendromyza reinwardtiana,climber_vine_herbaceous,,,,,,,
Dendrophthoe acacioides subsp. acacioides,,shrub,,stem_parasitic,,,,
Dendrophthoe curvata,,shrub,,stem_parasitic,,,,
Dendrophthoe glabrescens,,shrub,,stem_parasitic,,,,
Dendrophthoe vitellina,,shrub,,stem_parasitic,,,,
Dendrotrophe varians,climber_vine,shrub,,stem_parasitic,,,,
Denhamia bilocularis,shrub tree,tree shrub,,,,,,
Denhamia cunninghamii,shrub,,,,,,,
Denhamia disperma,tree,,,,,,,
Denhamia fasciculiflora,shrub tree,,,,,,,
Denhamia obscura,shrub tree,,,,,,,
Denhamia oleaster,shrub tree,,,,,,,
Denhamia peninsularis,shrub,tree shrub,,,,,,
Denhamia pittosporoides subsp. angustifolia,shrub tree,tree,,,,,,
Denhamia pittosporoides subsp. pittosporoides,tree,,,,,,,
Denhamia viridissima,shrub tree,,,,,,,
Deplanchea tetraphylla,shrub tree,,,,,,,
Derris sp  claudie river l j.webb 8348,climber_vine,climber_vine,,,,,,
Derris sp  daintree d e.boyland 469,climber_vine_herbaceous,climber_vine,,,,,,
Derris sp  wenlock river b.hyland 21082v,climber_vine,climber_vine,,,,,,
Derris trifoliata,climber_vine,climber_vine,,,,,,
Desmodium gangeticum,herb shrub,,,,,,,
Desmodium gunnii,herb,,sprawling,,,,,
Desmodium heterocarpon var. strigosum,herb shrub,,,,,,,
Desmodium intortum,herb shrub climber_vine_herbaceous,herb,trailing,,perennial,,,
Desmodium macrocarpum,herb,subshrub,,,,,,
Desmodium nemorosum,herb shrub,,,,,,,
Desmodium tenax,herb shrub,,,,,,,
Desmodium tortuosum,herb shrub,,,,,,,
Desmodium trichostachyum,herb,herb,prostrate,,annual,,,
Desmos goezeanus,climber_vine,tree climber_vine,,,,,,
Desmos polycarpus,climber_vine,tree climber_vine,,,,,,
Desmos wardianus,shrub climber_vine,tree climber_vine,,,,,,
Dianella atraxis,herb shrub,,,,,,,
Dianella bambusifolia,herb,herb,tufted,,,,,
Dianella caerulea var. assera,herb,,tufted,,,,,
Dianella caerulea var. caerulea,herb shrub,,,,,,,
Dianella longifolia var. longifolia,herb,,tufted,,,,,
Dianella odorata,herb,,tufted,,,,,
Dianella pavopennacea var. major,herb,,dense,,,,,
Dichapetalum papuanum,shrub climber_vine,tree climber_vine,,,,,,
Dichapetalum timoriense,climber_vine,climber_vine,,,,,,
Dichrocephala integrifolia,herb shrub,,,,,,,
Dicliptera ciliata,herb,herb,erect,,,,,
Dicliptera spicata,herb shrub,,,,,,,
Dictyoneura obtusa,tree,,,,,,,
Dillenia alata,shrub tree,,,,,,,
Dimocarpus australianus,tree,,,,,,,
Dimocarpus longan,tree,tree,,,,,,
Dimorphocalyx australiensis,shrub tree,,,,,,,
Dinghoua globularis,shrub,tree,,,,,,
Dinosperma erythrococcum,tree,tree,,,,,,
Dinosperma longifolium,shrub,tree shrub,,,,,,
Dinosperma melanophloium,shrub tree,tree,,,,,,
Dinosperma stipitatum,shrub tree,tree,,,,,,
Dioclea hexandra,climber_vine,climber_vine,,,,,,
Dioscorea alata,climber_vine_herbaceous,climber_vine,,,,,,
Dioscorea bulbifera var. bulbifera,climber_vine_herbaceous,climber_vine,,,,,,
Dioscorea transversa,climber_vine_herbaceous,climber_vine,,,,,,
Diospyros areolifolia,tree,tree,,,,,,
Diospyros australis,shrub tree,tree shrub,,,,,,
Diospyros calycantha,shrub tree,tree,,,,,,
Diospyros compacta,shrub tree,tree,,,,,,
Diospyros fasciculosa,shrub tree,tree,,,,,,
Diospyros geminata,shrub tree,tree shrub,,,,,,
Diospyros granitica,tree,tree,,,,,,
Diospyros hebecarpa,shrub tree,tree,,,,,,
Diospyros hemicycloides,shrub tree,tree,,,,,,
Diospyros humilis,shrub tree,tree shrub,,,,,,
Diospyros laurina,shrub tree,tree shrub,,,,,,
Diospyros littorea,shrub tree,tree,,,,,,
Diospyros maritima,shrub tree,tree,,,,,,
Diospyros peninsularis,shrub tree,,,,,,,
Diospyros pentamera,tree,tree,,,,,,
Diospyros pluviatilis,shrub,,,,,,,
Diospyros rheophila,shrub tree,tree,,,,,,
Diospyros rugosula,shrub tree,tree shrub,,,,,,
Diospyros sp  ham hill b.hyland 2941rfk,shrub tree,tree,,,,,,
Diospyros uvida,shrub tree,tree shrub,,,,,,
Diplatia furcata,,shrub,,stem_parasitic,,,,
Diplatia tomentosa,,shrub,,stem_parasitic,,,,
Diplocyclos palmatus,climber_vine_herbaceous,climber_vine,,,,,,
Diploglottis alaticarpa,tree,tree,,,,,,monoecious
Diploglottis bernieana,tree,,,,,,,
Diploglottis bracteata,tree,,,,,,,
Diploglottis diphyllostegia,tree,,,,,,,
Diploglottis harpullioides,shrub tree,tree,,,,,,
Diploglottis macrantha,shrub,tree,,,,,,
Diploglottis obovata,shrub tree,tree,,,,,,
Diploglottis pedleyi,shrub tree,tree,,,,,,
Diploglottis smithii,tree,,,,,,,
Dipodium pictum,epiphyte climber_vine_herbaceous,climber_vine,,,,,,
Dipteracanthus australasicus subsp. australasicus,herb,shrub,compact,,,,,
Dischidia litoralis,climber_vine_herbaceous,climber_vine,,,,,,
Dischidia major,epiphyte climber_vine_herbaceous,climber_vine,,,,,,
Dischidia nummularia,epiphyte climber_vine_herbaceous,climber_vine,,,,,,
Dischidia ovata,climber_vine_herbaceous,climber_vine,,,,,,
Dissiliaria baloghioides,shrub tree,tree,,,,,,
Dissiliaria indistincta,tree,tree shrub,,,,,,
Dissiliaria laxinervis,tree,,,,,,,
Dissiliaria surculosa,tree,,,,,,,
Dissiliaria tuckeri,tree,tree,,,,,,
Dissotis rotundifolia,herb,herb,decumbent,,,,,
Distimake dissectus,climber_vine_herbaceous,climber_vine,,,,,,
Distimake quinquefolius,climber_vine climber_vine_herbaceous,climber_vine,,,,,,
Distimake tuberosus,climber_vine,climber_vine,,,,,,
Dodonaea lanceolata var. lanceolata,herb shrub,,,,,,,
Dodonaea lanceolata var. subsessilifolia,herb shrub,,,,,,,
Dodonaea platyptera,shrub tree,,,,,,,
Dodonaea polyandra,shrub tree,tree,,,,,,
Dodonaea triquetra,shrub,,,,,,,
Dodonaea viscosa subsp. viscosa,shrub,,,,,,,
Dolichandrone spathacea,tree,tree,,,,,,
Donella lanceolata,tree,,,,,,,
Doryphora aromatica,tree,,,,,,,
Dracophyllum sayeri,shrub tree,tree,,,,,,
Drosera adelae,herb,herb,,,,,,
Drosera lunata,herb,herb,,,perennial,,,
Drosera prolifera,herb,herb,,,perennial,,,
Drosera schizandra,herb,herb,,,,,,
Dryadodaphne trachyphloia,tree,tree,,,,,,
Drymaria cordata,herb,,,,annual,,,
Drypetes acuminata,tree,,,,,,,
Drypetes deplanchei,shrub tree,,,,,,,
Drypetes iodoformis,shrub tree,,,,,,,
Drypetes vernicosa,shrub,,,,,,,
Duboisia myoporoides,herb shrub tree,,,,,,,
Duranta erecta,shrub,shrub,,,,,,
Dysoxylum acutangulum subsp. foveolatum,shrub tree,tree,,,,,,
Dysoxylum alliaceum,tree,,,,,,,
Dysoxylum arborescens,tree,,,,,,,
Dysoxylum gaudichaudianum,tree,,,,,,,
Dysoxylum klanderi,tree,,,,,,,
Dysoxylum latifolium,tree,,,,,,,
Dysoxylum mollissimum subsp. molle,tree,,,,,,,
Dysoxylum oppositifolium,tree,,,,,,,
Dysoxylum papuanum,tree,,,,,,,
Dysoxylum parasiticum,tree,,,,,,,
Dysoxylum pettigrewianum,tree,,,,,,,
Dysoxylum pumilum,shrub tree,,,,,,,
Dysoxylum rufum,tree,,,,,,,
Dysoxylum setosum,tree,,,,,,,
Dysphania carinata,herb,herb,prostrate erect,,annual,,,
Eclipta prostrata,herb shrub,herb,,,,,,
Ehretia acuminata var. pyrifolia,tree,,,,,,,
Ehretia grahamii,shrub,shrub,,,,,,
Ehretia microphylla,shrub,,,,,,,
Ehretia saligna var. membranifolia,shrub tree,,,,,,,
Ehretia saligna var. saligna,shrub,tree,,,,,,
Ehretia sp  whitfield range r.jago 17,shrub,tree,,,,,,
Eidothea zoexylocarya,tree,,,,,,,
Einadia hastata,herb shrub,,,,,,,
Elaeagnus triflora,shrub climber_vine,climber_vine,,,,,,
Elaeocarpus angustifolius,tree,tree,,,,,,
Elaeocarpus arnhemicus,tree,tree,,,,,,
Elaeocarpus bancroftii,tree,tree,,,,,,
Elaeocarpus carbinensis,tree,tree,,,,,,
Elaeocarpus carolinae,tree,,,,,,,
Elaeocarpus coorangooloo,tree,,,,,,,
Elaeocarpus culminicola,tree,,,,,,,
Elaeocarpus elliffii,tree,,,,,,,
Elaeocarpus eumundi,tree,,,,,,,
Elaeocarpus ferruginiflorus,tree,,,,,,,
Elaeocarpus foveolatus,tree,,,,,,,
Elaeocarpus grahamii,shrub tree,tree,,,,,,
Elaeocarpus grandis,tree,tree,,,,,,
Elaeocarpus hylobroma,tree,tree,,,,,,
Elaeocarpus johnsonii,tree,tree,,,,,,
Elaeocarpus kirtonii,tree,,,,,,,
Elaeocarpus largiflorens subsp. largiflorens,tree,tree,,,,,,
Elaeocarpus largiflorens subsp. retinervis,tree,,,,,,,
Elaeocarpus linsmithii,shrub tree,tree,,,,,,
Elaeocarpus miegei,tree,tree,,,,,,
Elaeocarpus obovatus,shrub tree,tree,,,,,,
Elaeocarpus ruminatus,tree,,,,,,,
Elaeocarpus sericopetalus,shrub tree,,,,,,,
Elaeocarpus sp  mt bellenden ker l j.brass 18336,tree,,,,,,,
Elaeocarpus sp  windsor tableland b.hyland 5541,shrub tree,,,,,,,
Elaeocarpus stellaris,tree,tree,,,,,,
Elaeocarpus thelmae,tree,,,,,,,
Elaeodendron australe var. australe,shrub tree,tree,,,,,,
Elaeodendron australe var. integrifolium,shrub,tree shrub,,,,,,
Elaeodendron melanocarpum,shrub tree,,,,,,,
Elatostema reticulatum,herb,herb,,,,,,
Elattostachys megalantha,tree,,,,,,,
Elattostachys microcarpa,tree,tree,,,,,,
Elattostachys xylocarpa,shrub tree,tree,,,,,,
Eleocharis ochrostachys,,,stoloniferous,,perennial,rhizome stolon,,
Elephantopus scaber,herb,herb,,,,,,
Eleutheranthera ruderalis,herb,herb,,,,,,
Embelia australiana,climber_vine,climber_vine,,,,,,
Embelia caulialata,climber_vine,climber_vine,,,,,,
Embelia curvinervia,climber_vine,climber_vine,,,,,,
Embelia grayi,climber_vine,climber_vine,,,,,,
Emilia sonchifolia var. sonchifolia,herb,herb,,,annual,,,
Emmenosperma alphitonioides,tree,tree,,,,,,
Emmenosperma cunninghamii,tree,tree,,,,,,
Endiandra acuminata,shrub tree,,,,,,,
